train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision,pca_time,pred_time
33600,3,35,10,0.9767857142857143,0.9767857142857143,0.9768015322229341,0.9741964906518399,0.9769130425099479,5.60778284072876,4.464860439300537
33600,3,35,10,0.9741071428571428,0.9741071428571428,0.9741398326849745,0.9712111978513185,0.9742616415470351,5.77504301071167,4.476042032241821
33600,3,35,10,0.9735119047619047,0.9735119047619047,0.9735194050144131,0.9705610761194647,0.9737588156702504,5.929325103759766,4.446077823638916
33600,3,35,10,0.9720238095238095,0.9720238095238095,0.9720870142456564,0.968899448739184,0.9724453771062814,5.632908821105957,4.474573850631714
33600,3,35,10,0.9726190476190476,0.9726190476190476,0.9725875921606174,0.9695394077015083,0.9726852029340326,5.648576259613037,4.46467399597168
33600,3,35,10,0.9723214285714286,0.9723214285714286,0.9723190990687165,0.9692223835455581,0.9723903115220969,5.66452169418335,4.48429799079895
33600,3,35,10,0.9723214285714286,0.9723214285714286,0.9723298430121059,0.9692342288501569,0.972438576363608,5.539258718490601,4.466444730758667
33600,3,35,10,0.9669642857142857,0.9669642857142857,0.9670271874532114,0.9632874324522127,0.9674277653758699,5.656746864318848,4.482107400894165
33600,3,35,10,0.9702380952380952,0.9702380952380952,0.9701948580809455,0.9669155125579754,0.9702644708859847,5.602229356765747,4.456570863723755
33600,3,35,10,0.9705357142857143,0.9705357142857143,0.9705359495107861,0.967246331631483,0.970648116727213,5.694360017776489,4.465842247009277
