accuracy,cohen_kappa,f1,kfold,knn,precision,recall,train_size
0.9428571428571428,0.9363801036347915,0.9428735802341954,20,1,0.9440914935819117,0.9428571428571428,8400
0.9452380952380952,0.9390701576228531,0.9448483678461042,20,1,0.9462470936455997,0.9452380952380952,8400
0.9380952380952381,0.9309861024211744,0.9381047268763161,20,1,0.9404540967138926,0.9380952380952381,8400
0.9476190476190476,0.9415500619923585,0.9476274828707003,20,1,0.948941322335085,0.9476190476190476,8400
0.9380952380952381,0.9310540770906336,0.938304494662282,20,1,0.940601710750819,0.9380952380952381,8400
0.9547619047619048,0.9496110325318246,0.9547916238284444,20,1,0.9564894109198501,0.9547619047619048,8400
0.9666666666666667,0.9628612032212222,0.9665664361999757,20,1,0.9673866844582957,0.9666666666666667,8400
0.9571428571428572,0.9522926053538299,0.9572170044228856,20,1,0.9586550420882366,0.9571428571428572,8400
0.9333333333333333,0.9258675576007817,0.9327755150992774,20,1,0.9341013939379382,0.9333333333333333,8400
0.9571428571428572,0.9522901967713843,0.9576390013634916,20,1,0.9599656593299561,0.9571428571428572,8400
0.9595238095238096,0.9549026047851241,0.9593766566579386,20,1,0.959879342245019,0.9595238095238096,8400
0.9357142857142857,0.9283552668987434,0.9360677692551876,20,1,0.938155552986682,0.9357142857142857,8400
0.9595238095238096,0.9549342001451699,0.9595940664488728,20,1,0.9609020463863689,0.9595238095238096,8400
0.9476190476190476,0.9416434566778453,0.9479006028124709,20,1,0.9494748042391188,0.9476190476190476,8400
0.9428571428571428,0.9362275562753856,0.9425471180796222,20,1,0.9432770197901336,0.9428571428571428,8400
0.9452380952380952,0.938819714492001,0.9453324534659359,20,1,0.9479968253820247,0.9452380952380952,8400
0.9476190476190476,0.9416677714437227,0.9478552400006606,20,1,0.950424591362791,0.9476190476190476,8400
0.9357142857142857,0.928295921593424,0.9357589239412333,20,1,0.9379288078553379,0.9357142857142857,8400
0.9380952380952381,0.9310645228490806,0.9377235059967458,20,1,0.9392728496822572,0.9380952380952381,8400
0.9476190476190476,0.941707515566743,0.9473879427618945,20,1,0.9479293959552378,0.9476190476190476,8400
0.9619047619047619,0.957629723505573,0.9617897633440999,20,1,0.9620947477641137,0.9619047619047619,16800
0.9630952380952381,0.9589155860445523,0.9629276394931509,20,1,0.9634862430827295,0.9630952380952381,16800
0.9547619047619048,0.9496481522670163,0.9545460249068878,20,1,0.9551143708497066,0.9547619047619048,16800
0.9654761904761905,0.9615961255598594,0.9653331624969053,20,1,0.9662508070656345,0.9654761904761905,16800
0.9583333333333334,0.953671823171337,0.958328099174448,20,1,0.9588751687015807,0.9583333333333334,16800
0.9607142857142857,0.9562560755450632,0.9607592068036308,20,1,0.9611435324350048,0.9607142857142857,16800
0.9619047619047619,0.9576244466585111,0.9617922666927032,20,1,0.9625623225699036,0.9619047619047619,16800
0.9511904761904761,0.9456283212665254,0.9511656587991113,20,1,0.9522621558562989,0.9511904761904761,16800
0.9511904761904761,0.9456971623456177,0.9516666579569483,20,1,0.9544688110580464,0.9511904761904761,16800
0.9571428571428572,0.9523449319213313,0.9570076651722234,20,1,0.9578869347507185,0.9571428571428572,16800
0.9630952380952381,0.9589701572495509,0.9630798990730516,20,1,0.9636005124433525,0.9630952380952381,16800
0.9630952380952381,0.9589664072914992,0.9630078852605493,20,1,0.9639427057139037,0.9630952380952381,16800
0.9535714285714286,0.9483220438978682,0.9534072897232887,20,1,0.953888392477344,0.9535714285714286,16800
0.9452380952380952,0.9390307402463385,0.9451603431542429,20,1,0.946240812807711,0.9452380952380952,16800
0.9702380952380952,0.966900204115408,0.970199453850838,20,1,0.9708071261580835,0.9702380952380952,16800
0.9547619047619048,0.9496592695862819,0.9547537246230523,20,1,0.9553744722155845,0.9547619047619048,16800
0.9583333333333334,0.9535951890522528,0.9584429991626653,20,1,0.959531567560143,0.9583333333333334,16800
0.9619047619047619,0.9574709115591151,0.9619321044431328,20,1,0.9625409685211136,0.9619047619047619,16800
0.9571428571428572,0.9523519902182922,0.9570810392686487,20,1,0.9572990477353657,0.9571428571428572,16800
0.95,0.9443570861913151,0.9499331496836382,20,1,0.9506416153303614,0.95,16800
0.9674603174603175,0.9638032003968615,0.9673740681076897,20,1,0.9675758011433314,0.9674603174603175,25200
0.9619047619047619,0.9575886689938669,0.9618291295248712,20,1,0.9620266165627375,0.9619047619047619,25200
0.9611111111111111,0.9567633131039235,0.9609297731207751,20,1,0.961828913881009,0.9611111111111111,25200
0.969047619047619,0.9655576278920133,0.9691015927128288,20,1,0.9693133266528988,0.969047619047619,25200
0.9666666666666667,0.9629181431323238,0.9666390233163253,20,1,0.9670054255624813,0.9666666666666667,25200
0.957936507936508,0.9531827394477134,0.9580568190328711,20,1,0.9591264450805059,0.957936507936508,25200
0.9634920634920635,0.959418045246499,0.9633964409816809,20,1,0.9639767429213176,0.9634920634920635,25200
0.9650793650793651,0.9611871522753191,0.9650026188977335,20,1,0.965590394442205,0.9650793650793651,25200
0.9523809523809523,0.9470147804933092,0.9521173926734511,20,1,0.9524964881069229,0.9523809523809523,25200
0.969047619047619,0.9655845479242524,0.9691030548945782,20,1,0.9694774614070162,0.969047619047619,25200
0.9626984126984127,0.9585000014015534,0.9627780140635084,20,1,0.963398205975552,0.9626984126984127,25200
0.9626984126984127,0.9584217975937721,0.962669645434035,20,1,0.9629771347848259,0.9626984126984127,25200
0.9555555555555556,0.9505607459609895,0.9554452201870547,20,1,0.9560696472918979,0.9555555555555556,25200
0.9611111111111111,0.9567634947757641,0.9610089865672968,20,1,0.9610963365902466,0.9611111111111111,25200
0.953968253968254,0.948818583308471,0.9538902467325043,20,1,0.9541651774276763,0.953968253968254,25200
0.9642857142857143,0.9602233106833032,0.9642124655093628,20,1,0.9648426515903614,0.9642857142857143,25200
0.9611111111111111,0.9567782656421515,0.9611027453076949,20,1,0.9618840289873984,0.9611111111111111,25200
0.9603174603174603,0.9558454028406125,0.9603013384676913,20,1,0.9607872180121874,0.9603174603174603,25200
0.9595238095238096,0.9549970691368556,0.9595901785397094,20,1,0.9604010708257643,0.9595238095238096,25200
0.9563492063492064,0.951450427243246,0.9562567019027634,20,1,0.9566811385824069,0.9563492063492064,25200
0.9702380952380952,0.9668918415585429,0.9701855208866277,20,1,0.9702458227833185,0.9702380952380952,33600
0.9678571428571429,0.9642654425322377,0.9677747612801336,20,1,0.9680020520830824,0.9678571428571429,33600
0.9672619047619048,0.9635918743683249,0.9672827426292148,20,1,0.9675602661795677,0.9672619047619048,33600
