Alpha,K,Accuracy
10,32,0.9142857142857143
10,34,0.9138095238095238
10,36,0.9134523809523809
10,38,0.9129761904761905
10,40,0.9132142857142858
10,42,0.9134523809523809
10,44,0.9127380952380952
10,46,0.9117857142857143
10,48,0.9113095238095238
10,50,0.9105952380952381
10,52,0.9104761904761904
10,54,0.9097619047619048
10,56,0.9098809523809523
10,58,0.9102380952380953
10,60,0.9097619047619048
10,62,0.9098809523809523
10,64,0.9077380952380952
10,66,0.9084523809523809
10,68,0.9077380952380952
10,70,0.9077380952380952
10,72,0.9064285714285715
10,74,0.905952380952381
10,76,0.906547619047619
10,78,0.906547619047619
10,80,0.906547619047619
10,82,0.9048809523809523
10,84,0.9046428571428572
10,86,0.9045238095238095
10,88,0.9041666666666667
10,90,0.905
10,92,0.9044047619047619
10,94,0.9044047619047619
10,96,0.9036904761904762
10,98,0.9025
10,100,0.901547619047619
10,102,0.9023809523809524
10,104,0.9019047619047619
10,106,0.9016666666666666
10,108,0.9014285714285715
10,110,0.901547619047619
10,112,0.9011904761904762
10,114,0.900952380952381
10,116,0.9002380952380953
10,118,0.8994047619047619
10,120,0.8994047619047619
10,122,0.8986904761904762
10,124,0.8989285714285714
10,126,0.8986904761904762
10,128,0.8983333333333333
10,130,0.8983333333333333
10,132,0.8979761904761905
10,134,0.8977380952380952
10,136,0.8975
10,138,0.8970238095238096
10,140,0.8964285714285715
10,142,0.8960714285714285
10,144,0.8963095238095238
10,146,0.8957142857142857
10,148,0.8961904761904762
10,150,0.8954761904761904
15,1,0.9494047619047619
15,2,0.9420238095238095
15,4,0.954047619047619
15,6,0.9529761904761904
15,8,0.9517857142857142
15,10,0.9513095238095238
15,12,0.9521428571428572
15,14,0.9513095238095238
15,16,0.9495238095238095
15,18,0.9501190476190476
15,20,0.9485714285714286
15,22,0.9482142857142857
15,24,0.9465476190476191
15,26,0.9471428571428572
15,28,0.9451190476190476
15,30,0.945
15,32,0.9441666666666667
15,34,0.9436904761904762
15,36,0.9439285714285715
15,38,0.9422619047619047
15,40,0.9415476190476191
15,42,0.9413095238095238
15,44,0.9403571428571429
15,46,0.9404761904761905
15,48,0.94
15,50,0.9391666666666667
15,52,0.9388095238095238
15,54,0.9382142857142857
15,56,0.9375
15,58,0.9377380952380953
15,60,0.9369047619047619
15,62,0.9364285714285714
15,64,0.9353571428571429
15,66,0.9354761904761905
15,68,0.9351190476190476
15,70,0.9346428571428571
15,72,0.9338095238095238
15,74,0.9335714285714286
15,76,0.9333333333333333
15,78,0.9327380952380953
15,80,0.9323809523809524
15,82,0.9320238095238095
15,84,0.9308333333333333
15,86,0.9303571428571429
15,88,0.9297619047619048
15,90,0.929404761904762
15,92,0.9295238095238095
15,94,0.9286904761904762
15,96,0.9285714285714286
15,98,0.9285714285714286
15,100,0.9284523809523809
15,102,0.9282142857142858
15,104,0.9279761904761905
15,106,0.9277380952380953
15,108,0.9279761904761905
15,110,0.9273809523809524
15,112,0.9276190476190476
15,114,0.9269047619047619
15,116,0.9261904761904762
15,118,0.9255952380952381
15,120,0.9260714285714285
15,122,0.9263095238095238
15,124,0.9258333333333333
15,126,0.9254761904761905
15,128,0.9253571428571429
15,130,0.9247619047619048
15,132,0.924047619047619
15,134,0.9232142857142858
15,136,0.9226190476190477
15,138,0.9229761904761905
15,140,0.9221428571428572
15,142,0.9222619047619047
15,144,0.9216666666666666
15,146,0.9219047619047619
15,148,0.9215476190476191
15,150,0.920952380952381
20,1,0.9627380952380953
20,2,0.955952380952381
20,4,0.9661904761904762
20,6,0.9655952380952381
20,8,0.9646428571428571
20,10,0.9638095238095238
20,12,0.9625
20,14,0.9628571428571429
20,16,0.9625
20,18,0.9603571428571429
20,20,0.9601190476190476
20,22,0.9591666666666666
20,24,0.9585714285714285
20,26,0.9577380952380953
20,28,0.958452380952381
20,30,0.9567857142857142
20,32,0.9551190476190476
20,34,0.9552380952380952
20,36,0.9541666666666667
20,38,0.9533333333333334
20,40,0.9526190476190476
20,42,0.9525
20,44,0.9517857142857142
20,46,0.9523809523809523
20,48,0.9517857142857142
20,50,0.9510714285714286
20,52,0.9507142857142857
20,54,0.9491666666666667
20,56,0.9484523809523809
20,58,0.9485714285714286
20,60,0.9486904761904762
20,62,0.9488095238095238
20,64,0.9472619047619047
20,66,0.9465476190476191
20,68,0.9464285714285714
20,70,0.9454761904761905
20,72,0.9454761904761905
20,74,0.9448809523809524
20,76,0.9442857142857143
20,78,0.9435714285714286
20,80,0.944047619047619
20,82,0.9433333333333334
20,84,0.9427380952380953
20,86,0.9426190476190476
20,88,0.9429761904761905
20,90,0.9427380952380953
20,92,0.9428571428571428
20,94,0.9426190476190476
20,96,0.9417857142857143
20,98,0.9411904761904762
20,100,0.940595238095238
20,102,0.9407142857142857
20,104,0.9410714285714286
20,106,0.940595238095238
20,108,0.9403571428571429
20,110,0.9396428571428571
20,112,0.9397619047619048
20,114,0.9391666666666667
20,116,0.9385714285714286
20,118,0.9383333333333334
20,120,0.9380952380952381
20,122,0.9379761904761905
20,124,0.9373809523809524
20,126,0.9378571428571428
20,128,0.9371428571428572
20,130,0.9367857142857143
20,132,0.9365476190476191
20,134,0.9358333333333333
20,136,0.9361904761904762
20,138,0.9357142857142857
20,140,0.9361904761904762
20,142,0.9353571428571429
20,144,0.934404761904762
20,146,0.9342857142857143
20,148,0.9341666666666667
20,150,0.9338095238095238
25,1,0.9651190476190477
25,2,0.9638095238095238
25,4,0.9703571428571428
25,6,0.9703571428571428
25,8,0.9694047619047619
25,10,0.9676190476190476
25,12,0.9660714285714286
25,14,0.9663095238095238
25,16,0.9652380952380952
25,18,0.9651190476190477
25,20,0.9648809523809524
25,22,0.9635714285714285
25,24,0.9620238095238095
25,26,0.9610714285714286
25,28,0.9604761904761905
25,30,0.9607142857142857
25,32,0.959047619047619
25,34,0.9570238095238095
25,36,0.9583333333333334
25,38,0.9567857142857142
25,40,0.9565476190476191
25,42,0.9566666666666667
25,44,0.955
25,46,0.9548809523809524
25,48,0.9542857142857143
25,50,0.9535714285714286
25,52,0.9538095238095238
25,54,0.9528571428571428
25,56,0.9523809523809523
25,58,0.9522619047619048
25,60,0.9516666666666667
25,62,0.9519047619047619
25,64,0.9511904761904761
25,66,0.9510714285714286
25,68,0.95
25,70,0.9504761904761905
25,72,0.9495238095238095
25,74,0.9492857142857143
25,76,0.9492857142857143
25,78,0.949047619047619
25,80,0.9489285714285715
25,82,0.9478571428571428
25,84,0.9479761904761905
25,86,0.9476190476190476
25,88,0.9472619047619047
25,90,0.9471428571428572
25,92,0.9461904761904761
25,94,0.9463095238095238
25,96,0.9454761904761905
25,98,0.945
25,100,0.9451190476190476
25,102,0.9447619047619048
25,104,0.9439285714285715
25,106,0.9438095238095238
25,108,0.9433333333333334
