K,0,1,2,3,4,5,6,7,8,9
3,0.9809318961697744,0.9623610135862914,0.987544362091854,0.9681449276807936,0.9774115364544664,0.9642294387896864,0.9716507621805156,0.956388938336754,0.979619557553875,0.9285882015427986
4,0.9841518112893548,0.9635618860146152,0.9853867025693029,0.9732147993344296,0.9840193440040712,0.9597198850198272,0.968003165326695,0.9579782475576468,0.9785378449416856,0.9174070550266056
5,0.9787916752540132,0.9542612097185279,0.9851010531888962,0.9669715705077916,0.9832529530195784,0.9631197511652849,0.9697200675457496,0.9573121894458956,0.9828087686411016,0.9348592660320836
6,0.9809600496171929,0.9551931878994498,0.9876687609751362,0.968650845412086,0.9844009234308679,0.9643291437853764,0.9685651168799534,0.9544308787830597,0.9790669846692882,0.92222484125715
7,0.9788505701324636,0.9487609954183712,0.9859053429186918,0.9628635873044018,0.9826322542957528,0.9633113226127871,0.9688301450544292,0.9573802378182494,0.9817993722727301,0.9317052221829812
1,0.9788736829459428,0.9651063517444038,0.9810261962391552,0.9506611185804946,0.9725043359531236,0.9570181105095696,0.9750877114888536,0.9609382762076228,0.9800675100540528,0.9357636200095794
8,0.9776649306383948,0.948139992864912,0.9856005029053612,0.9646559527629442,0.9842367985741308,0.9585582793227349,0.9716060129026469,0.9521384110560536,0.9834866109847382,0.92294312929424
9,0.9750311613188616,0.9422208153694454,0.9844062955392436,0.9616870785737464,0.9829921682511203,0.9585250338831924,0.9712434741391064,0.9508500411227848,0.9860673851088784,0.9297499554669466
10,0.9749675527303959,0.9423726922359478,0.9853656036211748,0.9627283181562856,0.98410232463777,0.9615948654694244,0.9695001835169856,0.952345535452983,0.9838452543173276,0.9223238296766814
11,0.9746788214076538,0.9363702143271088,0.9850348936429206,0.9598214635999353,0.9833500067175296,0.9600887140322832,0.9697865336725451,0.9519838020188608,0.986026889773406,0.9266503276139286
