,K,Accuracy
0,1,0.926
1,10,0.914
2,20,0.906
3,30,0.89
4,40,0.883
5,50,0.87
6,60,0.862
7,70,0.855
8,80,0.852
9,90,0.849
10,100,0.841
11,110,0.838
12,120,0.832
13,130,0.824
14,140,0.821
15,150,0.818
16,160,0.809
17,170,0.809
18,180,0.797
19,190,0.797
20,200,0.789
21,210,0.787
22,220,0.784
23,230,0.78
24,240,0.774
25,250,0.771
26,260,0.767
27,270,0.764
28,280,0.759
29,290,0.756
30,300,0.751
