K,0,1,2,3,4,5,6,7,8,9
3,0.9868125775969364,0.9773323068218928,0.9696604130350874,0.9643793669339876,0.9665662050659644,0.9593135971302356,0.9796675903562292,0.9659321769633468,0.9543887451668818,0.9449076597148408
4,0.9876608055156402,0.9778411351938218,0.9674847115636728,0.9644232775937258,0.9640864757755369,0.9582111540398072,0.9787292963183776,0.9643951594272072,0.955966900154378,0.9441500472224316
5,0.9857106730675772,0.9734021150819291,0.9670851939879416,0.9645115606908576,0.9697207864357484,0.9589641666416552,0.9788471076506738,0.9637283788779588,0.9550873109871456,0.9501102846346512
6,0.9870957194666764,0.9740410797806052,0.9648733746409044,0.962856777014645,0.9659987433605816,0.9594882649142108,0.9788588916864188,0.9621271826047378,0.9545196921483649,0.94539410165738
7,0.9857263561311288,0.971045117675399,0.9652055052926318,0.9614207314572456,0.9678073999841376,0.959267203192722,0.978089519541824,0.9643831234049984,0.9522800531223956,0.9469090039746646
1,0.9851729865821895,0.9797798720332156,0.9701990438801206,0.9533752877381292,0.9644212844623964,0.9543673027597614,0.9800528225015172,0.9655581797835816,0.9550348092211456,0.9433294598647788
8,0.984840949706996,0.9705623427120889,0.964638327115933,0.9603765838232692,0.9667331273744924,0.9567105467602774,0.9801004936172768,0.9596684308365514,0.9540801400861144,0.9414671373743582
9,0.983794627052752,0.9675705564660184,0.963481364517494,0.9600702124169642,0.9688688597494208,0.9555710906295888,0.9784095274542552,0.9598777970573548,0.9523001458262902,0.9422861749759748
10,0.9834412204905728,0.9675242394485212,0.9633381105844768,0.9593908433304902,0.9662407753984792,0.9565735111175734,0.9782679493363556,0.9594842835343236,0.9537147617048879,0.9401381548784784
11,0.9831398309098331,0.964590260119608,0.9617031559166002,0.958939187737178,0.968105023421697,0.9563318906037568,0.9778158022350496,0.9582676120054212,0.951285788122626,0.9413628504099082
