,Alpha,K,Accuracy
278,170,60,0.871
279,170,70,0.86
280,170,80,0.853
281,170,90,0.842
282,170,100,0.837
283,170,110,0.83
284,170,120,0.826
285,170,130,0.819
286,170,140,0.815
287,170,150,0.804
288,180,1,0.923
289,180,10,0.921
290,180,20,0.907
291,180,30,0.9
292,180,40,0.88
293,180,50,0.875
294,180,60,0.869
295,180,70,0.86
296,180,80,0.852
297,180,90,0.841
298,180,100,0.835
299,180,110,0.829
300,180,120,0.826
301,180,130,0.818
302,180,140,0.812
303,180,150,0.806
304,190,1,0.92
305,190,10,0.921
306,190,20,0.909
307,190,30,0.898
308,190,40,0.882
309,190,50,0.875
310,190,60,0.869
311,190,70,0.861
312,190,80,0.852
313,190,90,0.841
314,190,100,0.836
315,190,110,0.828
316,190,120,0.821
317,190,130,0.819
318,190,140,0.814
319,190,150,0.802
320,200,1,0.92
321,200,10,0.921
322,200,20,0.908
323,200,30,0.898
324,200,40,0.88
325,200,50,0.876
326,200,60,0.867
327,200,70,0.861
328,200,80,0.85
329,200,90,0.841
330,200,100,0.836
331,200,110,0.826
332,200,120,0.82
333,200,130,0.818
334,200,140,0.807
335,200,150,0.804
336,210,1,0.918
337,210,10,0.92
338,210,20,0.907
339,210,30,0.9
340,210,40,0.88
341,210,50,0.876
342,210,60,0.867
343,210,70,0.86
344,210,80,0.851
345,210,90,0.84
346,210,100,0.836
347,210,110,0.826
348,210,120,0.819
349,210,130,0.816
350,210,140,0.813
351,210,150,0.802
352,220,1,0.917
353,220,10,0.918
354,220,20,0.908
355,220,30,0.899
356,220,40,0.88
357,220,50,0.876
358,220,60,0.864
359,220,70,0.857
360,220,80,0.851
361,220,90,0.839
362,220,100,0.835
363,220,110,0.825
364,220,120,0.823
365,220,130,0.817
366,220,140,0.811
367,220,150,0.802
368,230,1,0.917
369,230,10,0.917
370,230,20,0.907
371,230,30,0.9
372,230,40,0.881
373,230,50,0.875
374,230,60,0.863
375,230,70,0.858
376,230,80,0.851
377,230,90,0.839
378,230,100,0.836
379,230,110,0.824
380,230,120,0.821
381,230,130,0.816
382,230,140,0.808
383,230,150,0.801
384,240,1,0.917
385,240,10,0.918
386,240,20,0.907
387,240,30,0.9
388,240,40,0.881
389,240,50,0.875
390,240,60,0.864
391,240,70,0.857
392,240,80,0.852
393,240,90,0.839
394,240,100,0.834
395,240,110,0.824
396,240,120,0.821
397,240,130,0.815
398,240,140,0.809
399,240,150,0.799
400,250,1,0.918
401,250,10,0.918
402,250,20,0.906
403,250,30,0.901
404,250,40,0.879
405,250,50,0.875
406,250,60,0.863
407,250,70,0.856
408,250,80,0.852
409,250,90,0.842
410,250,100,0.835
411,250,110,0.825
412,250,120,0.821
413,250,130,0.816
414,250,140,0.807
415,250,150,0.798
416,260,1,0.918
417,260,10,0.918
418,260,20,0.905
419,260,30,0.901
420,260,40,0.877
421,260,50,0.875
422,260,60,0.863
423,260,70,0.855
424,260,80,0.852
425,260,90,0.842
426,260,100,0.834
