accuracy,alpha,cohen_kappa,f1,kfold,knn,precision,recall,train_size
0.9705357142857143,25,0.9672484278231221,0.9705175555295161,10,1,0.9705701296395466,0.9705357142857143,33600
0.9770833333333333,25,0.9745267982572045,0.9770845325924965,10,3,0.9771537264396903,0.9770833333333333,33600
0.9747023809523809,25,0.9718808270856949,0.9747181895487819,10,5,0.9748283369476266,0.9747023809523809,33600
0.9735119047619047,25,0.9705570848835974,0.9735054357180042,10,7,0.9735964668122967,0.9735119047619047,33600
0.9702380952380952,25,0.9669180142734984,0.9702333655245263,10,9,0.9703470682260188,0.9702380952380952,33600
0.9696428571428571,25,0.9662564642619015,0.9696419797221985,10,11,0.9697913254071927,0.9696428571428571,33600
0.9729166666666667,35,0.96989558268677,0.9729100146500486,10,1,0.9729503837415794,0.9729166666666667,33600
0.9767857142857143,35,0.9741964906518399,0.9768015322229341,10,3,0.9769130425099479,0.9767857142857143,33600
0.9761904761904762,35,0.9735351123487647,0.9761972181998626,10,5,0.9762879265912322,0.9761904761904762,33600
0.9761904761904762,35,0.9735346276948307,0.9761788336617682,10,7,0.9762744424740221,0.9761904761904762,33600
0.9741071428571428,35,0.9712190266336245,0.974096443968793,10,9,0.9742438789730894,0.9741071428571428,33600
0.9729166666666667,35,0.9698956004708243,0.972906385875738,10,11,0.9730522011642894,0.9729166666666667,33600
0.9741071428571428,45,0.9712198455468982,0.9740922545375851,10,1,0.9741342926751245,0.9741071428571428,33600
0.9782738095238095,45,0.97585055225321,0.9782947574872899,10,3,0.9784132772925483,0.9782738095238095,33600
0.9767857142857143,45,0.9741964068142044,0.9767943325586459,10,5,0.9769024417455122,0.9767857142857143,33600
0.975297619047619,45,0.9725418139692144,0.9752784274618976,10,7,0.9753824849089435,0.975297619047619,33600
0.9732142857142857,45,0.9702263066530913,0.9731852541527994,10,9,0.9732994165987147,0.9732142857142857,33600
0.9717261904761905,45,0.968571525624988,0.9716830176775592,10,11,0.9718597514153979,0.9717261904761905,33600
0.9732142857142857,55,0.9702269486284902,0.9732035536647693,10,1,0.9732548695572572,0.9732142857142857,33600
0.9788690476190476,55,0.9765123012096519,0.9788807081598129,10,3,0.9789573148887709,0.9788690476190476,33600
0.9755952380952381,55,0.9728732017124382,0.9755938710034113,10,5,0.9757080653506646,0.9755952380952381,33600
0.9729166666666667,55,0.9698953070312417,0.9728705501878452,10,7,0.9730136700140863,0.9729166666666667,33600
0.9726190476190476,55,0.969564390336694,0.9725819368969558,10,9,0.9727369841276571,0.9726190476190476,33600
0.9702380952380952,55,0.9669170826892749,0.9702062588963183,10,11,0.9704564556886721,0.9702380952380952,33600
0.9723214285714286,65,0.9692345590183414,0.9723140913790874,10,1,0.9723827380107329,0.9723214285714286,33600
0.9761904761904762,65,0.9735343566977966,0.9761746960215117,10,3,0.9762635137146969,0.9761904761904762,33600
0.9767857142857143,65,0.9741961730821622,0.9767811657690828,10,5,0.976953932312957,0.9767857142857143,33600
0.9741071428571428,65,0.9712181736674842,0.9740803381226304,10,7,0.9742827163770791,0.9741071428571428,33600
0.9705357142857143,65,0.9672481246981572,0.9704947752087849,10,9,0.970697436405048,0.9705357142857143,33600
0.9705357142857143,65,0.9672479183119918,0.9704860609334278,10,11,0.970718341420231,0.9705357142857143,33600
0.9732142857142857,75,0.9702269251778213,0.9732013195864627,10,1,0.973267724983953,0.9732142857142857,33600
0.975,75,0.9722114739910857,0.9749954866816692,10,3,0.9750853272341753,0.975,33600
0.9755952380952381,75,0.9728731883583523,0.9755932130423564,10,5,0.9757981332419793,0.9755952380952381,33600
0.9738095238095238,75,0.9708874025395543,0.9737672115711703,10,7,0.9739283131342683,0.9738095238095238,33600
0.9714285714285714,75,0.968240952865935,0.9713872141289219,10,9,0.9716142577671393,0.9714285714285714,33600
0.9708333333333333,75,0.9675790187572627,0.9707930794362217,10,11,0.9710576435769769,0.9708333333333333,33600
0.9732142857142857,85,0.9702267991298428,0.9732054064775403,10,1,0.9732841408382689,0.9732142857142857,33600
0.9747023809523809,85,0.9718802318423686,0.9746872815230314,10,3,0.9747957295774374,0.9747023809523809,33600
0.9735119047619047,85,0.9705574646338084,0.9734993383148498,10,5,0.9736941481922583,0.9735119047619047,33600
0.9732142857142857,85,0.9702262421608817,0.9731741134713432,10,7,0.9733765574786452,0.9732142857142857,33600
0.9702380952380952,85,0.966917714608773,0.9701815975588449,10,9,0.9704711246756137,0.9702380952380952,33600
0.9714285714285714,85,0.9682405369728061,0.9713674298731314,10,11,0.971658064689982,0.9714285714285714,33600
0.9738095238095238,95,0.9708883111666189,0.973793380889026,10,1,0.9738560164120923,0.9738095238095238,33600
0.9735119047619047,95,0.9705569486349507,0.9734912308613001,10,3,0.9735840822961994,0.9735119047619047,33600
0.9729166666666667,95,0.9698959324359808,0.9728984991819969,10,5,0.9731038851630844,0.9729166666666667,33600
0.9738095238095238,95,0.9708878124319714,0.9737741597267183,10,7,0.9740033222660319,0.9738095238095238,33600
0.9717261904761905,95,0.9685716246471323,0.971679989050924,10,9,0.9719612603920895,0.9717261904761905,33600
