train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision,predict_time
6000,1,85,10,0.9383333333333334,0.9383333333333334,0.9383020521002455,0.9313808824665791,0.9395422420638408,2.197453260421753
6000,1,85,10,0.9383333333333334,0.9383333333333334,0.9380920015069281,0.9313978461395838,0.9400536814092811,2.1242456436157227
6000,1,85,10,0.9466666666666667,0.9466666666666667,0.9464637598950832,0.9405655558823074,0.9472116494834544,1.73323392868042
6000,1,85,10,0.9466666666666667,0.9466666666666667,0.946807399139873,0.940532973227449,0.948379169440506,1.0542852878570557
6000,1,85,10,0.9483333333333334,0.9483333333333334,0.9481897651587435,0.9424722103661365,0.9492612719975531,1.0556468963623047
6000,1,85,10,0.9466666666666667,0.9466666666666667,0.9466616663493123,0.9407239092581844,0.9476851029529867,0.9996333122253418
6000,1,85,10,0.925,0.925,0.925080652190114,0.9165817035869868,0.9262094011560034,1.0401585102081299
6000,1,85,10,0.95,0.95,0.9498166854741193,0.9443208849267355,0.9501536574687579,0.876767635345459
6000,1,85,10,0.9383333333333334,0.9383333333333334,0.9381711642942299,0.9313248427741051,0.9396284762178903,0.9979557991027832
6000,1,85,10,0.9616666666666667,0.9616666666666667,0.9618020662822384,0.9573204676192243,0.9625205366449632,1.0009796619415283
12000,1,85,10,0.9608333333333333,0.9608333333333333,0.960754256345726,0.9564449503557382,0.9611787239752931,4.336863040924072
12000,1,85,10,0.9525,0.9525,0.9523036596694434,0.9470959628186714,0.9527962621134547,3.5284900665283203
12000,1,85,10,0.9608333333333333,0.9608333333333333,0.9608239199346563,0.9564538619402121,0.9614541641041647,3.869915008544922
12000,1,85,10,0.9608333333333333,0.9608333333333333,0.9608281606038175,0.9564359005255498,0.9611729825366215,3.694864273071289
12000,1,85,10,0.9591666666666666,0.9591666666666666,0.9592292071763296,0.9545750215150621,0.9599648375063498,3.8579862117767334
12000,1,85,10,0.9525,0.9525,0.9525374538938938,0.9471361144580408,0.9535982791348953,3.592564344406128
12000,1,85,10,0.9525,0.9525,0.9524546172495061,0.9471930887796894,0.9531056215909252,3.8656814098358154
12000,1,85,10,0.9725,0.9725,0.9723968681452136,0.9694303154004049,0.9729210557014464,3.736656427383423
12000,1,85,10,0.9558333333333333,0.9558333333333333,0.9555828646902012,0.950852925835056,0.9563704124493884,3.2643330097198486
12000,1,85,10,0.9466666666666667,0.9466666666666667,0.9465325715024787,0.9406584134470507,0.947102552505061,3.108104944229126
18000,1,85,10,0.9672222222222222,0.9672222222222222,0.9671357817082797,0.9635473570289242,0.9672066116414973,8.106308937072754
18000,1,85,10,0.9644444444444444,0.9644444444444444,0.9644474561054883,0.9604693713120188,0.9647582605103043,6.2637457847595215
18000,1,85,10,0.9644444444444444,0.9644444444444444,0.964462823662469,0.9604451160534114,0.9647521957754622,6.4921557903289795
18000,1,85,10,0.9666666666666667,0.9666666666666667,0.9666266462857249,0.962928841224227,0.9669675822230129,6.741091966629028
18000,1,85,10,0.9605555555555556,0.9605555555555556,0.9605566233801955,0.9561520433044891,0.9612328472841701,8.063880920410156
18000,1,85,10,0.965,0.965,0.9649280043329389,0.9610795850411067,0.9653456499620046,6.86370849609375
18000,1,85,10,0.96,0.96,0.9599465331132434,0.9555162432643663,0.9600781686757446,4.455636978149414
18000,1,85,10,0.9622222222222222,0.9622222222222222,0.9621973337227501,0.9579907353097137,0.9625142916048188,3.914191484451294
18000,1,85,10,0.9672222222222222,0.9672222222222222,0.9671791749101181,0.9635091172230095,0.9674522540481093,3.357301950454712
18000,1,85,10,0.9661111111111111,0.9661111111111111,0.9660081186873328,0.9623168351083545,0.9660677082048283,4.058117628097534
24000,1,85,10,0.97,0.97,0.9699652996076155,0.9666385179161584,0.9700463638036108,6.475001335144043
24000,1,85,10,0.97125,0.97125,0.9712236281093798,0.9680435472280093,0.9713058464454989,6.534578084945679
24000,1,85,10,0.9691666666666666,0.9691666666666666,0.9691968609300589,0.9657113996467657,0.9695193874777207,7.644986391067505
24000,1,85,10,0.9654166666666667,0.9654166666666667,0.9653631307679317,0.9615587761873601,0.9657490092343386,8.116578102111816
24000,1,85,10,0.965,0.965,0.9648910561658592,0.9610759037254183,0.9651493465009369,6.057832717895508
24000,1,85,10,0.97,0.97,0.9700064142561361,0.9666451378532518,0.9701815563193105,6.038232803344727
24000,1,85,10,0.9641666666666666,0.9641666666666666,0.9640949124636016,0.9601330212737847,0.9642381451318992,5.420621633529663
24000,1,85,10,0.9641666666666666,0.9641666666666666,0.9641114358599846,0.9601538401543498,0.9642068960729088,5.093349456787109
