train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision,predict_time
6000,1,65,10,0.945,0.945,0.9449082189164341,0.9387883809217604,0.9458833835445316,1.7308390140533447
6000,1,65,10,0.9383333333333334,0.9383333333333334,0.9381239830979098,0.9314016618101927,0.9398298541036019,1.7168068885803223
6000,1,65,10,0.95,0.95,0.9498193703001047,0.9442853826510872,0.9500171124035159,1.7708771228790283
6000,1,65,10,0.9466666666666667,0.9466666666666667,0.946748250145972,0.9405449427590243,0.9484111220245673,1.545379638671875
6000,1,65,10,0.9483333333333334,0.9483333333333334,0.9482292133459337,0.9424727441428903,0.9491099823150134,1.731111764907837
6000,1,65,10,0.9416666666666667,0.9416666666666667,0.9415008819471887,0.9351651744365546,0.9426112273084393,0.9157285690307617
6000,1,65,10,0.9283333333333333,0.9283333333333333,0.9284727609682485,0.9202869669190913,0.9294613684810431,0.8634436130523682
6000,1,65,10,0.9466666666666667,0.9466666666666667,0.9465282457492656,0.9406107809991617,0.9468585730122152,0.7556777000427246
6000,1,65,10,0.935,0.935,0.9351145123850559,0.9276187176758803,0.9366821578471128,0.7944178581237793
6000,1,65,10,0.9516666666666667,0.9516666666666667,0.9517523147643984,0.9461890064758748,0.952235828144134,0.7365825176239014
12000,1,65,10,0.96,0.96,0.959910919463767,0.9555175601381736,0.9604762650857466,3.873424530029297
12000,1,65,10,0.9583333333333334,0.9583333333333334,0.9581195973280873,0.953593236987737,0.9584654451853133,3.361198663711548
12000,1,65,10,0.9625,0.9625,0.9624681630508366,0.9583025750476432,0.9632021157348144,3.166435718536377
12000,1,65,10,0.9575,0.9575,0.9575044985116512,0.9527291208697841,0.9578431582334802,3.224375009536743
12000,1,65,10,0.9583333333333334,0.9583333333333334,0.9584569977724193,0.9536508814443622,0.9592358530595358,2.812011957168579
12000,1,65,10,0.9541666666666667,0.9541666666666667,0.9541419091088731,0.9489939441901011,0.9547778989758522,3.3227787017822266
12000,1,65,10,0.9525,0.9525,0.9524421522873138,0.947191417215598,0.9530676503089052,2.88071346282959
12000,1,65,10,0.9691666666666666,0.9691666666666666,0.9690895411455798,0.9657244228154916,0.9696796226838948,3.493755340576172
12000,1,65,10,0.96,0.96,0.9597841597130137,0.9554895798479073,0.9603899056564206,2.9081459045410156
12000,1,65,10,0.9491666666666667,0.9491666666666667,0.9490130831268427,0.9434398318030408,0.9492618034643755,3.152188777923584
18000,1,65,10,0.9666666666666667,0.9666666666666667,0.9666362635760151,0.9629306480477837,0.9667023549942558,7.627695798873901
18000,1,65,10,0.9655555555555555,0.9655555555555555,0.9655665423833695,0.9617045326254391,0.9658325982287346,4.928013324737549
18000,1,65,10,0.965,0.965,0.9650382971886075,0.9610643643139448,0.9653533879443805,5.255446910858154
18000,1,65,10,0.9627777777777777,0.9627777777777777,0.9627078067165402,0.9586025085644064,0.9629129461528745,5.212618112564087
18000,1,65,10,0.96,0.96,0.9600123194039009,0.955533017077929,0.9605991583138156,5.316267728805542
18000,1,65,10,0.97,0.97,0.969938946518917,0.9666402282467347,0.9701984891981535,4.470116376876831
18000,1,65,10,0.9638888888888889,0.9638888888888889,0.9638916536607903,0.9598410805152012,0.9640173176320596,5.1814515590667725
18000,1,65,10,0.9655555555555555,0.9655555555555555,0.9655538023433331,0.9616979478199749,0.96577981930009,4.993715047836304
18000,1,65,10,0.9655555555555555,0.9655555555555555,0.965509126946445,0.9616547026590196,0.9657216749133968,4.910069227218628
