train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision,predict_time
6000,1,75,10,0.9383333333333334,0.9383333333333334,0.9382065915437943,0.9313753674663601,0.9391842266421323,1.836984634399414
6000,1,75,10,0.935,0.935,0.9346848556996552,0.9276923029383499,0.9366694124188529,1.701490879058838
6000,1,75,10,0.9466666666666667,0.9466666666666667,0.9464727055895512,0.9405692352932072,0.9469056917452341,1.8186933994293213
6000,1,75,10,0.9466666666666667,0.9466666666666667,0.9468242873971217,0.9405338941317484,0.9490287318665268,1.781580924987793
6000,1,75,10,0.95,0.95,0.9498742559215781,0.9443276011381913,0.9508127219796175,0.8598151206970215
6000,1,75,10,0.9433333333333334,0.9433333333333334,0.9432318539215568,0.9370174035733361,0.9443734518721326,0.9457788467407227
6000,1,75,10,0.9283333333333333,0.9283333333333333,0.9285228365258793,0.9202906610314018,0.9296504698367981,0.9715011119842529
6000,1,75,10,0.9516666666666667,0.9516666666666667,0.9514238719384487,0.9461848457762836,0.9517780090931095,0.872807502746582
6000,1,75,10,0.9366666666666666,0.9366666666666666,0.9365927561212133,0.9294672301038811,0.9381577998094465,0.9320721626281738
6000,1,75,10,0.9616666666666667,0.9616666666666667,0.9617533641572358,0.9573133386536998,0.9625596683413401,0.8670318126678467
12000,1,75,10,0.9616666666666667,0.9616666666666667,0.9616018219516969,0.9573713901792024,0.9621061580538458,3.718449115753174
12000,1,75,10,0.9558333333333333,0.9558333333333333,0.9556662560415071,0.9508072712422092,0.9561222341585691,3.9414138793945312
12000,1,75,10,0.9625,0.9625,0.9624909240224163,0.9583058589533535,0.9631824319400452,3.911389112472534
12000,1,75,10,0.9616666666666667,0.9616666666666667,0.9616554474240142,0.9573633231890999,0.9620035447986551,3.8998823165893555
12000,1,75,10,0.9566666666666667,0.9566666666666667,0.9567560319220297,0.951794272788794,0.9575882263222879,3.7250986099243164
12000,1,75,10,0.9533333333333334,0.9533333333333334,0.9533783765643534,0.9480639925805704,0.9543125676240841,3.4568519592285156
12000,1,75,10,0.9525,0.9525,0.9524793017614646,0.9471905610076412,0.9531093868388181,3.3296620845794678
12000,1,75,10,0.9716666666666667,0.9716666666666667,0.9715759073880668,0.9685036695540876,0.9721312733735246,3.1738076210021973
12000,1,75,10,0.9591666666666666,0.9591666666666666,0.9589253171961549,0.9545632274326833,0.95957268623863,2.662273406982422
12000,1,75,10,0.9483333333333334,0.9483333333333334,0.9481932419477552,0.9425155918730646,0.9485504673264948,3.558340549468994
18000,1,75,10,0.9672222222222222,0.9672222222222222,0.9671748387058496,0.9635474321019436,0.9672530745128372,8.800040006637573
18000,1,75,10,0.9661111111111111,0.9661111111111111,0.9661308215975088,0.9623225246790895,0.9664041075570072,7.640620470046997
18000,1,75,10,0.9644444444444444,0.9644444444444444,0.9645440966128561,0.960444708604203,0.9650197627334515,6.771799087524414
18000,1,75,10,0.9672222222222222,0.9672222222222222,0.9671926854187384,0.9635466813578346,0.9675018175352846,7.75034499168396
18000,1,75,10,0.9616666666666667,0.9616666666666667,0.9616514203019518,0.9573858226543417,0.9623212841860467,5.938987493515015
18000,1,75,10,0.9655555555555555,0.9655555555555555,0.9654710360714414,0.9616969092906618,0.9658367087960826,5.164362192153931
18000,1,75,10,0.9616666666666667,0.9616666666666667,0.961621764133165,0.9573693819487135,0.9616750367303836,5.207116365432739
18000,1,75,10,0.9644444444444444,0.9644444444444444,0.9644403940962418,0.9604617599665023,0.9646950505138354,4.979499340057373
18000,1,75,10,0.9655555555555555,0.9655555555555555,0.9654902890581573,0.9616544655024193,0.9656963613817638,5.170551300048828
18000,1,75,10,0.9672222222222222,0.9672222222222222,0.967148470701726,0.9635517607897256,0.9672402171293648,3.542179584503174
24000,1,75,10,0.9695833333333334,0.9695833333333334,0.9695663281944711,0.9661758039617555,0.9696722174328107,9.837487697601318
24000,1,75,10,0.9708333333333333,0.9708333333333333,0.9708298100423082,0.9675804540241629,0.9709467475112118,8.887558698654175
24000,1,75,10,0.96875,0.96875,0.9688052914180726,0.9652482347551246,0.969151159604433,9.096390724182129
24000,1,75,10,0.96625,0.96625,0.9661846492730706,0.9624845929202019,0.9665226316958183,9.410428285598755
24000,1,75,10,0.9658333333333333,0.9658333333333333,0.9657585269570622,0.9620024038113443,0.9659892289147135,9.416155815124512
24000,1,75,10,0.97125,0.97125,0.971276896173665,0.9680354914137849,0.97143251149629,7.322071313858032
24000,1,75,10,0.9666666666666667,0.9666666666666667,0.9666002250734065,0.9629141876797068,0.9667549024579415,8.946150779724121
24000,1,75,10,0.96375,0.96375,0.963702110413055,0.9596903648581836,0.9637860065274502,9.045246362686157
24000,1,75,10,0.96625,0.96625,0.9662825606297364,0.9624828842633647,0.9665845136448296,8.05033254623413
24000,1,75,10,0.965,0.965,0.9649359529857162,0.9610720028917941,0.9652600453954784,8.383507013320923
30000,1,75,10,0.97,0.97,0.9700064839584621,0.96665022646349,0.9700786307085494,17.36330008506775
30000,1,75,10,0.9713333333333334,0.9713333333333334,0.9713742351020868,0.96813283617264,0.9715861254495974,9.921790838241577
30000,1,75,10,0.9663333333333334,0.9663333333333334,0.9663247874454376,0.9625690573097381,0.9665234822326385,7.043684720993042
30000,1,75,10,0.9703333333333334,0.9703333333333334,0.9702748132777357,0.9670111224409991,0.9705106061073115,10.591184616088867
30000,1,75,10,0.9693333333333334,0.9693333333333334,0.9693163809190425,0.9658918346040685,0.9694134737657637,11.50495982170105
30000,1,75,10,0.9693333333333334,0.9693333333333334,0.9692587716959247,0.9659003132723394,0.9693063764241824,11.749925136566162
30000,1,75,10,0.968,0.968,0.9680009699919014,0.9644207820682719,0.9681449390757056,11.709034204483032
30000,1,75,10,0.9683333333333334,0.9683333333333334,0.9683278080231462,0.9647946347517472,0.9684683050519278,10.51914095878601
30000,1,75,10,0.9663333333333334,0.9663333333333334,0.9663685933403501,0.962583011995911,0.9666719516580483,6.557392597198486
30000,1,75,10,0.9663333333333334,0.9663333333333334,0.9662324160468341,0.9625763571999013,0.9664026267718426,8.163768291473389
33600,1,75,10,0.9732142857142857,0.9732142857142857,0.9732013195864627,0.9702269251778213,0.973267724983953,10.257243156433105
33600,1,75,10,0.9720238095238095,0.9720238095238095,0.9720756591268986,0.9688947594208973,0.9722908984400942,10.319526672363281
33600,1,75,10,0.9669642857142857,0.9669642857142857,0.9669244748948131,0.9632823868575046,0.9671487761421842,10.63315224647522
33600,1,75,10,0.9699404761904762,0.9699404761904762,0.9699207773872008,0.9665820286823801,0.9700712750958523,8.89456820487976
33600,1,75,10,0.968452380952381,0.968452380952381,0.9684090725613196,0.9649028516728645,0.9684914033273239,8.881825685501099
33600,1,75,10,0.9702380952380952,0.9702380952380952,0.9702143851590953,0.9669042175551259,0.970333589145739,9.101341724395752
33600,1,75,10,0.9696428571428571,0.9696428571428571,0.9696669670697466,0.9662559227147205,0.9697927143178517,10.11615252494812
33600,1,75,10,0.9648809523809524,0.9648809523809524,0.9649192620982092,0.9609705619518499,0.96532309069775,10.217061996459961
33600,1,75,10,0.9681547619047619,0.9681547619047619,0.9680686159545081,0.9646000655182365,0.9681565135456812,9.781982898712158
33600,1,75,10,0.9717261904761905,0.9717261904761905,0.9716543549541388,0.9685700340284522,0.9716856359249977,8.905242443084717
