train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision
8000,1,10,10,0.9,0.9,0.899668582621574,0.8887977648350732,0.8998308334134073
8000,3,10,10,0.905,0.905,0.9053911619293848,0.8943780639916058,0.9067237136684512
8000,5,10,10,0.9,0.9,0.9000546617735433,0.8888027882700842,0.9011020432022936
8000,7,10,10,0.90375,0.90375,0.9041056412782161,0.8929823525119613,0.9059708984187282
8000,9,10,10,0.905,0.905,0.9052565167111761,0.8943767795688558,0.9072513252689621
8000,11,10,10,0.9,0.9,0.9005465446095091,0.8888331124470438,0.9039530129450314
8000,13,10,10,0.90125,0.90125,0.9015574817902052,0.8902185033933252,0.9036561951465675
8000,15,10,10,0.89625,0.89625,0.8969208097095819,0.8846591451922492,0.9004519811657494
8000,17,10,10,0.8975,0.8975,0.8980780710631672,0.8860525547850979,0.9009387058218301
8000,19,10,10,0.8925,0.8925,0.8926862592918907,0.8804758728040917,0.8949533245143525
8000,21,10,10,0.895,0.895,0.895251540043381,0.8832536782909173,0.8972294433712055
8000,23,10,10,0.89375,0.89375,0.8938812503873338,0.881860557235954,0.8962289674032878
8000,25,10,10,0.89375,0.89375,0.8939192229155164,0.8818644568370946,0.8962903323880682
8000,27,10,10,0.8925,0.8925,0.8925298258763577,0.8804677740771435,0.8944463325127795
8000,29,10,10,0.89125,0.89125,0.8912961642842521,0.8790826963168867,0.8930232069067398
8000,31,10,10,0.88875,0.88875,0.8886782732410689,0.8762963258966344,0.8902273061214732
8000,33,10,10,0.89,0.89,0.8899786554397567,0.8776847672361969,0.8914929001154871
8000,35,10,10,0.88875,0.88875,0.8886422907729912,0.8762958960468546,0.889936266387172
8000,37,10,10,0.885,0.885,0.8848310815564492,0.8721263169599422,0.8859004121220084
8000,39,10,10,0.88375,0.88375,0.8836482589288839,0.870741999989576,0.8849183314416461
8000,41,10,10,0.8825,0.8825,0.8824023620121322,0.8693532639098815,0.8840837780725401
8000,43,10,10,0.88,0.88,0.8799937806690318,0.8665742415318946,0.8817036138046161
8000,45,10,10,0.8775,0.8775,0.8774105304951527,0.8637931184252816,0.8789324792160158
8000,47,10,10,0.88,0.88,0.8798628089166869,0.8665765595167569,0.8813697938815342
8000,49,10,10,0.8775,0.8775,0.8774019591784382,0.8637940649653665,0.8788157694724597
8000,51,10,10,0.87625,0.87625,0.8760565222459438,0.862405642758489,0.8773564099263136
8000,1,20,10,0.9425,0.9425,0.9425027092223494,0.936060047954964,0.9430198605709944
8000,3,20,10,0.94,0.94,0.9398527557738839,0.9332820207207975,0.9404256341405823
8000,5,20,10,0.94375,0.94375,0.9437964525195974,0.9374468950202516,0.944434983208173
8000,7,20,10,0.9475,0.9475,0.9475836219105008,0.9416213624114548,0.9482030811006714
8000,9,20,10,0.9475,0.9475,0.9474750950808781,0.9416188265384134,0.9479614097424077
8000,11,20,10,0.9475,0.9475,0.9475720919119784,0.9416175077973641,0.9482731547388985
8000,13,20,10,0.9425,0.9425,0.942555406429354,0.9360644914694742,0.9433140730043089
8000,15,20,10,0.94625,0.94625,0.946326504684508,0.9402314986951702,0.9469340798064555
8000,17,20,10,0.94375,0.94375,0.9437662820812774,0.9374524377912371,0.9445366937118004
8000,19,20,10,0.94,0.94,0.9400144394766982,0.9332828321437755,0.9408401315719662
8000,21,20,10,0.9375,0.9375,0.9375375912744375,0.9305028294035579,0.9385439183283962
8000,23,20,10,0.9375,0.9375,0.9375476379835799,0.9305036746182046,0.9385290106105012
8000,25,20,10,0.9375,0.9375,0.9375919102908365,0.9305062101387964,0.9387962141142207
8000,27,20,10,0.9375,0.9375,0.9375834318492948,0.9305047612925419,0.9389934379662799
8000,29,20,10,0.93375,0.93375,0.9339163790515158,0.9263347910010302,0.9355369768779052
8000,31,20,10,0.9275,0.9275,0.9275404153005095,0.9193818814253423,0.9294037836322164
8000,33,20,10,0.92875,0.92875,0.9288319616601206,0.9207710230441649,0.9306708665361114
8000,35,20,10,0.93125,0.93125,0.9312830510382472,0.9235495260070612,0.9330087174987951
8000,37,20,10,0.93,0.93,0.9300957642826188,0.922161140339294,0.9319878757654406
8000,39,20,10,0.9275,0.9275,0.9276778355538324,0.9193807608440695,0.9293374780469138
8000,41,20,10,0.92875,0.92875,0.9288831687338033,0.9207706100663025,0.9304602278537292
8000,43,20,10,0.92625,0.92625,0.9263246415508144,0.9179961882126471,0.9278204982689661
8000,45,20,10,0.9225,0.9225,0.9224914957991099,0.9138239576347457,0.9242618717373502
8000,47,20,10,0.92375,0.92375,0.9238208105462168,0.9152052016743497,0.9258315731474088
8000,49,20,10,0.92625,0.92625,0.9264488326952969,0.9179912014288991,0.9285743811715449
8000,51,20,10,0.92375,0.92375,0.9239283250912894,0.9152022547859465,0.9262296239092666
8000,1,30,10,0.9475,0.9475,0.9474249236294593,0.9416283602780992,0.9479889074061848
8000,3,30,10,0.95375,0.95375,0.9535739404014479,0.9485737020506236,0.9538553258793884
8000,5,30,10,0.95625,0.95625,0.9561054314749206,0.9513519805824905,0.9565969832125066
8000,7,30,10,0.95375,0.95375,0.9537218417214524,0.9485698598528681,0.9541405773822496
8000,9,30,10,0.95625,0.95625,0.9561437338055992,0.9513513889178464,0.9565751654183475
8000,11,30,10,0.95125,0.95125,0.9511717630841814,0.9457907941648654,0.9519535836398793
8000,13,30,10,0.94875,0.94875,0.9486997757841483,0.9430116270180486,0.9495219734077637
8000,15,30,10,0.9525,0.9525,0.9524566472151352,0.9471832515310776,0.9533596304758345
8000,17,30,10,0.94875,0.94875,0.948683287112162,0.9430147953049751,0.9497016595725823
8000,19,30,10,0.94625,0.94625,0.9462601983214087,0.9402385593323397,0.9477900245084843
8000,21,30,10,0.94375,0.94375,0.9437924181279623,0.9374574363108227,0.9452940950222231
