train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision
4000,1,10,20,0.86,0.86,0.8582666816673168,0.8442020921433341,0.8623067496229261
4000,3,10,20,0.855,0.855,0.8559096137737634,0.8386513478176204,0.8625939552438407
4000,5,10,20,0.86,0.86,0.8614665922555325,0.8442064264849075,0.8675890264537963
4000,7,10,20,0.85,0.85,0.8509914394579497,0.8330365093499554,0.8557544701675135
4000,9,10,20,0.85,0.85,0.8495963396417985,0.8329807371116802,0.8522993378052974
4000,11,10,20,0.835,0.835,0.835348887790377,0.8163299382200702,0.8371523698152029
4000,13,10,20,0.845,0.845,0.8449073471001509,0.8275142578940048,0.8525335799466234
4000,15,10,20,0.825,0.825,0.8252776722969054,0.8052363595893269,0.831948415369199
4000,17,10,20,0.845,0.845,0.8447145204467588,0.8274614571158235,0.8518196460230517
4000,19,10,20,0.845,0.845,0.8450191627653676,0.8274278397862332,0.8519297385620915
4000,21,10,20,0.83,0.83,0.8304785033733764,0.8107273081526429,0.8376201569156678
4000,23,10,20,0.845,0.845,0.8449275743307142,0.8274086240013362,0.8506192307692306
4000,25,10,20,0.845,0.845,0.8446824399900009,0.8273894039366352,0.8503129302585958
4000,27,10,20,0.845,0.845,0.8446824399900009,0.8273894039366352,0.8503129302585958
4000,29,10,20,0.85,0.85,0.8496656590172303,0.8329807371116802,0.8559899071774458
4000,31,10,20,0.855,0.855,0.8556449164747485,0.8385570339030228,0.8622679392140591
4000,33,10,20,0.845,0.845,0.8457700198799876,0.8274518535010575,0.8529608954451346
4000,35,10,20,0.85,0.85,0.8502129076189032,0.8330086278875591,0.8548773593991372
4000,37,10,20,0.85,0.85,0.8503097339677942,0.833041155355205,0.8554995537897139
4000,39,10,20,0.84,0.84,0.8400414947707122,0.8218956976679468,0.8440663865546219
4000,41,10,20,0.845,0.845,0.8448485517285556,0.8274326430639056,0.8484781512605042
4000,43,10,20,0.845,0.845,0.8452070956151557,0.8274902615470229,0.848828865001378
4000,45,10,20,0.845,0.845,0.8451418660543957,0.827466258522332,0.8512496572313135
4000,47,10,20,0.84,0.84,0.8414641395032736,0.8219799171093989,0.8493492167919799
4000,49,10,20,0.835,0.835,0.8363687494703206,0.8164321076931635,0.844584335839599
4000,51,10,20,0.83,0.83,0.8306266979782692,0.8108378769333482,0.8377547619047618
4000,1,20,20,0.915,0.915,0.9149061327599419,0.9053926206244087,0.9215384526324172
4000,3,20,20,0.94,0.94,0.9395866978549905,0.9332146037399822,0.9418664860681115
4000,5,20,20,0.93,0.93,0.9300944264069264,0.9220858724990957,0.9350194508009153
4000,7,20,20,0.935,0.935,0.9352655190692272,0.9276491540516474,0.9391696484293738
4000,9,20,20,0.92,0.92,0.91977452654872,0.9109354560382977,0.9235194508009154
4000,11,20,20,0.915,0.915,0.9143063265580967,0.9053583855254002,0.9188774881043187
4000,13,20,20,0.9,0.9,0.8989202136435596,0.8886321240638138,0.9040816586921849
4000,15,20,20,0.9,0.9,0.8991991551459293,0.8886135167497424,0.9032669413919414
4000,17,20,20,0.9,0.9,0.8992134363868723,0.8886290232765341,0.90441650279545
4000,19,20,20,0.895,0.895,0.8947317337910361,0.8830474493205613,0.8990652914337125
4000,21,20,20,0.885,0.885,0.8846389773167929,0.8718877067899515,0.8898513251454429
4000,23,20,20,0.885,0.885,0.8849820459040797,0.871877001921845,0.8913264382676147
4000,25,20,20,0.89,0.89,0.8898340909739261,0.8774373259052924,0.894307207498384
4000,27,20,20,0.875,0.875,0.8748243774875415,0.8607513855237141,0.8813080351021526
4000,29,20,20,0.875,0.875,0.8748243774875415,0.8607513855237141,0.8813080351021526
4000,31,20,20,0.875,0.875,0.8748243774875415,0.8607513855237141,0.8813080351021526
4000,33,20,20,0.88,0.88,0.8793470811720251,0.8663027129407832,0.8848037060978237
4000,35,20,20,0.885,0.885,0.8843993224932251,0.8718698643491825,0.8892560870502046
4000,37,20,20,0.885,0.885,0.8843993224932251,0.8718698643491825,0.8892560870502046
4000,39,20,20,0.885,0.885,0.8848755129694155,0.8718555868178399,0.8904690939921118
4000,41,20,20,0.885,0.885,0.8848755129694155,0.8718555868178399,0.8904690939921118
4000,43,20,20,0.89,0.89,0.8896033316972343,0.8774339118081284,0.8940887302524131
4000,45,20,20,0.89,0.89,0.8897510271390473,0.8774236683753065,0.8952476177204437
4000,47,20,20,0.885,0.885,0.8849373498253701,0.8718591564989693,0.890042303710782
4000,49,20,20,0.88,0.88,0.8797986291486294,0.8662803655003343,0.885771199814678
