train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision
6000,51,20,15,0.9075,0.9075,0.9078452432333927,0.897001203972413,0.9119616594154637
6000,1,30,15,0.94,0.94,0.9400683378668923,0.9331946193833028,0.9416681369488336
6000,3,30,15,0.96,0.96,0.9598234126905258,0.9554593601458706,0.9611656037760689
6000,5,30,15,0.9575,0.9575,0.9574661213123854,0.9526785341480049,0.9584546237852165
6000,7,30,15,0.96,0.96,0.9598700377916687,0.9554590501642447,0.9606086670413194
6000,9,30,15,0.96,0.96,0.9598180706824726,0.955460600029229,0.9604935260050302
6000,11,30,15,0.9575,0.9575,0.9574701307519302,0.9526693116168998,0.9585075425510236
6000,13,30,15,0.9525,0.9525,0.9525730867327042,0.9471046770601337,0.9538732518646573
6000,15,30,15,0.945,0.945,0.9450570987423669,0.9387613082811412,0.9472486469869662
6000,17,30,15,0.9425,0.9425,0.9426181725080641,0.9359839681589824,0.9444317892742486
6000,19,30,15,0.9425,0.9425,0.9427129114469043,0.935983522715412,0.9454767567703614
6000,21,30,15,0.9325,0.9325,0.932577904449235,0.9248381933328694,0.9351888510288436
6000,23,30,15,0.93,0.93,0.9300001630733168,0.9220598469032707,0.9326162329562255
6000,25,30,15,0.9325,0.9325,0.9325952308174271,0.9248481305972486,0.9350297619337078
6000,27,30,15,0.9275,0.9275,0.9274062898857679,0.9192712139243238,0.9296627886292348
6000,29,30,15,0.93,0.93,0.9299704856851201,0.9220587621261256,0.9324563492352952
6000,31,30,15,0.9325,0.9325,0.9325779477770803,0.9248465617301992,0.935766867205697
6000,33,30,15,0.92,0.92,0.9198471544270822,0.9109100400208805,0.924037487647579
6000,35,30,15,0.9225,0.9225,0.9221634799067638,0.9136868922408693,0.925689837939838
6000,37,30,15,0.9175,0.9175,0.9173727160165813,0.9081298153548486,0.9218638677850056
6000,39,30,15,0.93,0.93,0.9303593421965815,0.9220723196704772,0.934245540379161
6000,41,30,15,0.9225,0.9225,0.9227079292660758,0.9137109176565555,0.927329365079365
6000,43,30,15,0.92,0.92,0.9202334816895891,0.9109280187051161,0.9245339596589597
6000,45,30,15,0.9175,0.9175,0.9176651239494951,0.9081413231824856,0.9226808713221756
6000,47,30,15,0.9125,0.9125,0.91246466990449,0.902557856272838,0.9179780335745957
6000,49,30,15,0.905,0.905,0.905247305849296,0.8942189250694188,0.9120455346290705
6000,51,30,15,0.905,0.905,0.9052077217774539,0.8942086178216719,0.9114215036213185
6000,1,40,15,0.9525,0.9525,0.9526115146212155,0.9471113028712995,0.9539144585798016
6000,3,40,15,0.9575,0.9575,0.9573055040526657,0.9526739233317558,0.958268013882669
6000,5,40,15,0.9525,0.9525,0.9523018625894929,0.9470995225035848,0.9537389072637898
6000,7,40,15,0.96,0.96,0.9599090980314945,0.9554550200104402,0.9614980696755216
6000,9,40,15,0.96,0.96,0.9600228964417701,0.9554547099684007,0.9617022989551532
6000,11,40,15,0.9575,0.9575,0.9574059301404576,0.9526699704883346,0.9586585356551416
6000,13,40,15,0.955,0.955,0.9551686545747293,0.9498861999123008,0.9572161165329242
6000,15,40,15,0.95,0.95,0.9499390805979874,0.9443276872329469,0.9517626723543599
6000,17,40,15,0.95,0.95,0.9500522423278759,0.9443226502418485,0.9523883477633478
6000,19,40,15,0.945,0.945,0.9451483689975333,0.9387638651134956,0.9479157647907647
6000,21,40,15,0.95,0.95,0.9501802347193279,0.9443393075809863,0.9524336343732895
6000,23,40,15,0.94,0.94,0.9402557406417951,0.9332090279130604,0.9434723813342498
6000,25,40,15,0.9375,0.9375,0.9377660301741989,0.9304221981019175,0.9413796184435719
6000,27,40,15,0.935,0.935,0.935090033542544,0.9276315331677208,0.9388264269542103
6000,29,40,15,0.93,0.93,0.930194864675573,0.9220663549320864,0.9340103512373481
6000,31,40,15,0.925,0.925,0.9252219037420352,0.9165043139437795,0.9296634666942427
6000,33,40,15,0.925,0.925,0.9252691264480223,0.9165031520060117,0.9299228392661152
6000,35,40,15,0.9175,0.9175,0.9177323356041733,0.9081515499425947,0.9245782861526385
6000,37,40,15,0.9175,0.9175,0.9178397884213658,0.9081566624687767,0.9241911297044356
6000,39,40,15,0.9125,0.9125,0.9125104252490402,0.9025707406015561,0.9193053931883719
6000,41,40,15,0.915,0.915,0.9153246301650423,0.9053656296316914,0.9221094555305932
6000,43,40,15,0.92,0.92,0.9202047189366922,0.910937315177534,0.9259743708727288
6000,45,40,15,0.91,0.91,0.9102054889126135,0.8997863500657652,0.9172202755908626
6000,47,40,15,0.9075,0.9075,0.9077739867141426,0.8970105216277905,0.9139209905362584
6000,49,40,15,0.91,0.91,0.9098852007538676,0.8997870474758862,0.9163959091196603
6000,51,40,15,0.9075,0.9075,0.9073269228562941,0.8969904507363791,0.9122819592009483
6000,1,50,15,0.96,0.96,0.9600651073921743,0.9554609099892828,0.9613805832410481
6000,3,50,15,0.9575,0.9575,0.9573612379959121,0.9526788634576441,0.9582699094455955
6000,5,50,15,0.9525,0.9525,0.9524110436007343,0.9471186629371408,0.9532784979797558
6000,7,50,15,0.9525,0.9525,0.9523025069592721,0.9471072539617362,0.9535578880959699
6000,9,50,15,0.95,0.95,0.9499587050355791,0.9443195501019648,0.9517161815586753
6000,11,50,15,0.95,0.95,0.9499616878399345,0.9443234252228803,0.9517573096432816
6000,13,50,15,0.9525,0.9525,0.9524809303106174,0.9471024680874758,0.9545660404019695
6000,15,50,15,0.95,0.95,0.950160186792681,0.944320325169301,0.9532779749320447
6000,17,50,15,0.9475,0.9475,0.9477207320126912,0.9415326790561704,0.9513822693568649
6000,19,50,15,0.9475,0.9475,0.9475818296780166,0.9415314581636701,0.9501447314762532
6000,21,50,15,0.9475,0.9475,0.9475444756926295,0.9415432579890881,0.9499744137069719
6000,23,50,15,0.94,0.94,0.9403732103430028,0.933201127230978,0.9437121212121212
6000,25,50,15,0.945,0.945,0.9454242020706846,0.9387532102365658,0.949130834197821
6000,27,50,15,0.9375,0.9375,0.937893852079937,0.93041638833222,0.9417012987012987
6000,29,50,15,0.9375,0.9375,0.937840185210352,0.9303887786711218,0.9423026688231441
6000,31,50,15,0.9275,0.9275,0.9276907873395487,0.9192678428506803,0.9326615820365821
6000,33,50,15,0.915,0.915,0.9151272201195542,0.9053768228876767,0.9201276110713346
6000,35,50,15,0.915,0.915,0.9150613153997168,0.9053801145178908,0.9197799808324001
6000,37,50,15,0.9175,0.9175,0.9174123292643944,0.9081598575086274,0.9228308223471267
6000,39,50,15,0.9125,0.9125,0.9126937167989791,0.9025958213607364,0.9187270395731311
6000,41,50,15,0.915,0.915,0.9153236776863242,0.9053972273040296,0.9203057678958231
6000,43,50,15,0.915,0.915,0.9153253703983171,0.9053959111556307,0.9202137757662077
6000,45,50,15,0.915,0.915,0.9151747784065404,0.9053853806499189,0.9205128793020559
6000,47,50,15,0.91,0.91,0.9102237412364008,0.8998142389012962,0.915449876787184
6000,49,50,15,0.905,0.905,0.9051118684716721,0.8942387976621208,0.9107931681846958
6000,51,50,15,0.905,0.905,0.9051118684716721,0.8942387976621208,0.9107931681846958
6000,1,60,15,0.955,0.955,0.9550005679431479,0.9498949185096521,0.9566782221316242
6000,3,60,15,0.96,0.96,0.9597801326713493,0.9554578101945936,0.9604347574525498
6000,5,60,15,0.9525,0.9525,0.9524678709629484,0.9471057814772799,0.9539759751896849
6000,7,60,15,0.9475,0.9475,0.9474608405330808,0.9415326790561704,0.9498612785629419
6000,9,60,15,0.9525,0.9525,0.952376597351992,0.9471054133433555,0.9538320674892088
6000,11,60,15,0.9575,0.9575,0.957439766397763,0.9526742527055713,0.9589443306740528
6000,13,60,15,0.9575,0.9575,0.9575729728519198,0.9526729351828008,0.9602133628645256
6000,15,60,15,0.955,0.955,0.9550903236024827,0.9498865487144508,0.9578921272525923
6000,17,60,15,0.9475,0.9475,0.9476891078964629,0.9415343068335259,0.9516320598006643
6000,19,60,15,0.9475,0.9475,0.9476331460522656,0.9415363414277661,0.9514454446140493
6000,21,60,15,0.9475,0.9475,0.9477239192325737,0.9415420375383631,0.9508670173495756
6000,23,60,15,0.935,0.935,0.9355618935069394,0.9276239787325845,0.9402357129627099
6000,25,60,15,0.935,0.935,0.9356863007549653,0.9276350580311169,0.941285509653811
6000,27,60,15,0.93,0.93,0.9306507627281445,0.9220576773187841,0.9367139738322752
6000,29,60,15,0.93,0.93,0.9304754512922017,0.9220462850182705,0.9367828935655023
6000,31,60,15,0.9275,0.9275,0.9282336793123229,0.919276270006959,0.9360029199159634
6000,33,60,15,0.92,0.92,0.9205725538676398,0.910937315177534,0.9281423600554035
6000,35,60,15,0.9125,0.9125,0.913013455237197,0.9025754866006499,0.9206182054660316
6000,37,60,15,0.9125,0.9125,0.9124173185210396,0.9025727746577868,0.9192050865800866
6000,39,60,15,0.9125,0.9125,0.9122361754507033,0.9025781983925403,0.9180360331158203
6000,41,60,15,0.905,0.905,0.9051299629802889,0.8942233418464985,0.9122354787359606
6000,43,60,15,0.905,0.905,0.9049201335751806,0.8942292303088923,0.9110994025105985
6000,45,60,15,0.905,0.905,0.9050493202843748,0.8942174527284241,0.9118239082282872
6000,47,60,15,0.9075,0.9075,0.9078365956317946,0.8970119549636062,0.9145398495230908
6000,49,60,15,0.9,0.9,0.899959532790732,0.8886708693413491,0.9073742057696809
6000,51,60,15,0.9025,0.9025,0.9024489999399353,0.8914752410501857,0.9101506472767126
6000,1,70,15,0.9475,0.9475,0.9473138248185548,0.9415395964840243,0.9492630527599332
6000,3,70,15,0.955,0.955,0.9548961036428679,0.9498896877153178,0.956211778059339
6000,5,70,15,0.9525,0.9525,0.952432848741266,0.9471094625347094,0.954682742323261
6000,7,70,15,0.945,0.945,0.9449683693656142,0.9387519314021632,0.9477018101244039
6000,9,70,15,0.945,0.945,0.9447702751372367,0.9387608821216571,0.9463069341568578
6000,11,70,15,0.95,0.95,0.9500294738182213,0.9443323359543525,0.9520855958037129
6000,13,70,15,0.955,0.955,0.9549971445733395,0.9498942211335041,0.9578855505801918
6000,15,70,15,0.9475,0.9475,0.9476196803943856,0.9415371552258127,0.9507120624853183
6000,17,70,15,0.9425,0.9425,0.9429049799562211,0.9359719390063124,0.9464453840732909
6000,19,70,15,0.945,0.945,0.9452307658939135,0.9387613082811412,0.9486535622000738
6000,21,70,15,0.94,0.94,0.9402793281620638,0.9331955491534624,0.944813161223677
6000,23,70,15,0.9375,0.9375,0.9379599495498874,0.9304129988518145,0.9427000738279808
6000,25,70,15,0.9325,0.9325,0.933114870711491,0.9248632929357581,0.9391188650126057
6000,27,70,15,0.9275,0.9275,0.9283313960734461,0.9192880650705185,0.9344453440890846
6000,29,70,15,0.93,0.93,0.930903623418624,0.9220663549320864,0.9375716940106475
6000,31,70,15,0.9225,0.9225,0.9231479512304765,0.9137175223012372,0.9301768317570895
6000,33,70,15,0.915,0.915,0.9153974904042339,0.9053471879067113,0.9232844273196438
6000,35,70,15,0.9125,0.9125,0.912836931014183,0.9025693845168833,0.9206929499156662
6000,37,70,15,0.915,0.915,0.9156126742794553,0.9053643126039427,0.9230028092984903
6000,39,70,15,0.91,0.91,0.9100348580321341,0.8997995991983968,0.9179453139734295
6000,41,70,15,0.9075,0.9075,0.907491559207902,0.8970112383006854,0.9146744365949939
6000,43,70,15,0.9025,0.9025,0.9022929244847882,0.8914563633706973,0.9096528335896952
6000,45,70,15,0.905,0.905,0.9047576503955813,0.8942432127798728,0.9119328309783884
6000,47,70,15,0.9,0.9,0.8996641366352511,0.8886724185917061,0.9064874347556917
6000,49,70,15,0.9,0.9,0.8999499291011693,0.8886592485891038,0.9087612232927609
6000,51,70,15,0.9,0.9,0.8998899166024106,0.8886662213315519,0.9077831961371675
6000,1,80,15,0.945,0.945,0.9448390349025886,0.938756620200572,0.9470253543881593
6000,3,80,15,0.9575,0.9575,0.9573164039841409,0.95267524079951,0.958325861690501
6000,5,80,15,0.9525,0.9525,0.9523309008272066,0.9471179270227393,0.9543623212284699
6000,7,80,15,0.9475,0.9475,0.9473381561957683,0.9415371552258127,0.9494865094255337
6000,9,80,15,0.945,0.945,0.9449887235555113,0.9387587512352639,0.94733267237337
6000,11,80,15,0.9475,0.9475,0.9474557949428505,0.9415456987376655,0.9497367753734971
6000,13,80,15,0.9475,0.9475,0.9473503527650321,0.9415367483296214,0.9506466752309777
6000,15,80,15,0.95,0.95,0.9499618944491544,0.9443195501019648,0.953531290615593
6000,17,80,15,0.94,0.94,0.940553115055499,0.9331983383086655,0.9450386002787419
6000,19,80,15,0.9425,0.9425,0.9427677286235238,0.9359821863475054,0.9467455283734354
6000,21,80,15,0.94,0.94,0.9401302190742495,0.9331927597653396,0.944364575992483
6000,23,80,15,0.9325,0.9325,0.9329605278400122,0.92484290078567,0.9388947489750069
6000,25,80,15,0.935,0.935,0.9355482807095945,0.9276290151979067,0.9411378607525317
6000,27,80,15,0.93,0.93,0.9305360209707569,0.9220696085389444,0.9366698745201368
6000,29,80,15,0.9225,0.9225,0.9229382270203067,0.9137271272524873,0.929702198345939
6000,31,80,15,0.9125,0.9125,0.9127466590360135,0.9026039528881407,0.9203154137529138
6000,33,80,15,0.9125,0.9125,0.912961548685844,0.9025917550878414,0.919882353353934
6000,35,80,15,0.915,0.915,0.9154164563900784,0.9053662881318192,0.9229650032938076
6000,37,80,15,0.9125,0.9125,0.9127303213912674,0.9025809100334704,0.9210469149586511
