train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision
2000,1,10,20,0.86,0.86,0.8559144501570131,0.8431548285906341,0.8635
2000,3,10,20,0.79,0.79,0.7909889390739993,0.7643362136684996,0.8015555555555555
2000,5,10,20,0.79,0.79,0.7917828090563013,0.7644947852416732,0.7977777777777777
2000,7,10,20,0.81,0.81,0.8122093814114274,0.7864928643667828,0.8188015873015874
2000,9,10,20,0.81,0.81,0.8130471318962367,0.7867085765603952,0.8194166666666667
2000,11,10,20,0.82,0.82,0.8218582097851547,0.7980477953550993,0.8279697802197803
2000,13,10,20,0.81,0.81,0.8126172453527599,0.78668463006624,0.8195873015873018
2000,15,10,20,0.84,0.84,0.840662368395634,0.8201843110811419,0.8456007326007327
2000,17,10,20,0.82,0.82,0.8219429090399853,0.7977755308392316,0.8298333333333333
2000,19,10,20,0.84,0.84,0.840662368395634,0.8201843110811419,0.8456007326007327
2000,21,10,20,0.84,0.84,0.84102592252782,0.8199617418701474,0.8487762694821518
2000,23,10,20,0.82,0.82,0.8226214814871898,0.7975253093363329,0.831873949579832
2000,25,10,20,0.84,0.84,0.84102592252782,0.8199617418701474,0.8487762694821518
2000,27,10,20,0.83,0.83,0.8299070414089388,0.8087093507370315,0.8376334123392948
2000,29,10,20,0.84,0.84,0.8397922959393547,0.8199212155317952,0.8456145047762695
2000,31,10,20,0.84,0.84,0.8395045836516424,0.8200224971878515,0.8445173992673993
2000,33,10,20,0.85,0.85,0.8506234647705234,0.8312710911136107,0.8556602564102564
2000,35,10,20,0.85,0.85,0.8506234647705234,0.8312710911136107,0.8556602564102564
2000,37,10,20,0.85,0.85,0.8506234647705234,0.8312710911136107,0.8556602564102564
2000,39,10,20,0.83,0.83,0.8288260890279866,0.8085154314034693,0.8370168067226891
2000,41,10,20,0.84,0.84,0.8401321496340473,0.8198806709445008,0.8476651583710408
2000,43,10,20,0.84,0.84,0.839278303480201,0.819758927565619,0.8483501400560225
2000,45,10,20,0.83,0.83,0.8311395617665067,0.8085369974096182,0.8447107351712614
2000,47,10,20,0.81,0.81,0.8105964231846585,0.7861082967465947,0.8223336385836386
2000,49,10,20,0.8,0.8,0.8010105042016806,0.7750534248116072,0.808805860805861
2000,51,10,20,0.8,0.8,0.8010105042016806,0.7750534248116072,0.808805860805861
2000,1,20,20,0.92,0.92,0.9218414712836294,0.9101426485454341,0.9305314685314685
2000,3,20,20,0.85,0.85,0.8505533285084368,0.8313848920863309,0.8789151583710406
2000,5,20,20,0.89,0.89,0.8919550264550264,0.8764738910724312,0.9015384615384616
2000,7,20,20,0.9,0.9,0.9001146903205728,0.8875772906127037,0.9112606837606836
2000,9,20,20,0.87,0.87,0.8670041454858388,0.8538340454238813,0.8799438698556346
2000,11,20,20,0.87,0.87,0.8685437642777797,0.8540637629097441,0.8881410256410257
2000,13,20,20,0.86,0.86,0.8581949089557784,0.8427143017638468,0.8730552780552782
