train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision
8000,1,10,15,0.9026217228464419,0.9026217228464419,0.9023828477874056,0.8916569448725502,0.9033115213050786
8000,3,10,15,0.9063670411985019,0.9063670411985019,0.9068599720871464,0.8958353652589486,0.9079896137212401
8000,5,10,15,0.9044943820224719,0.9044943820224719,0.9043865227524651,0.8937338312243202,0.9057148198100551
8000,7,10,15,0.9119850187265918,0.9119850187265918,0.9121740606256171,0.902081041222875,0.9141450214327831
8000,9,10,15,0.9101123595505618,0.9101123595505618,0.910045342392612,0.9000089723534483,0.9123691558853951
8000,11,10,15,0.8932584269662921,0.8932584269662921,0.8933433402347435,0.8812801060904499,0.8967489287949595
8000,13,10,15,0.900749063670412,0.900749063670412,0.9006296233991004,0.8895936710045875,0.903144731425844
8000,15,10,15,0.9044943820224719,0.9044943820224719,0.9045923783289883,0.8937732081006022,0.9069278706782105
8000,17,10,15,0.898876404494382,0.898876404494382,0.8990015228030046,0.8875162371224503,0.9016361770336869
8000,19,10,15,0.8951310861423221,0.8951310861423221,0.8948405421657106,0.8833383398808572,0.8970507278661436
8000,21,10,15,0.9026217228464419,0.9026217228464419,0.9022506753620108,0.8916700477513186,0.9050302496541713
8000,23,10,15,0.898876404494382,0.898876404494382,0.8984431075777445,0.8874894653057402,0.9001587228470793
8000,25,10,15,0.900749063670412,0.900749063670412,0.9003189090895494,0.889580317814547,0.9022983714478919
8000,27,10,15,0.898876404494382,0.898876404494382,0.898431980493021,0.8874938550014436,0.8999417086828253
8000,29,10,15,0.897003745318352,0.897003745318352,0.8965308428239737,0.8854086195191609,0.8984885604186666
8000,31,10,15,0.8951310861423221,0.8951310861423221,0.8948160585560988,0.88333697450142,0.8962248977432757
8000,33,10,15,0.8913857677902621,0.8913857677902621,0.8910113301391708,0.8791595950137532,0.892435107579266
8000,35,10,15,0.8895131086142322,0.8895131086142322,0.8890966618335046,0.8770742213257069,0.8908401511493513
8000,37,10,15,0.8895131086142322,0.8895131086142322,0.8889133834517959,0.8770761397553696,0.8906507789207093
8000,39,10,15,0.8876404494382022,0.8876404494382022,0.8870348547663867,0.8749965862051476,0.8887948818210849
8000,41,10,15,0.8857677902621723,0.8857677902621723,0.8852603332227361,0.8729117084780149,0.8868214401860066
8000,43,10,15,0.8876404494382022,0.8876404494382022,0.887078686565969,0.8749975615941322,0.8885189356635984
8000,45,10,15,0.8838951310861424,0.8838951310861424,0.8833490579498217,0.8708303096982607,0.8848945174973429
8000,47,10,15,0.8820224719101124,0.8820224719101124,0.8815127990896542,0.8687535842888185,0.883158456992077
8000,49,10,15,0.8782771535580525,0.8782771535580525,0.8779382024857848,0.8645902010275697,0.8798672232898439
8000,51,10,15,0.8801498127340824,0.8801498127340824,0.8796129259758624,0.8666723884352654,0.8813378117031664
8000,1,20,15,0.9456928838951311,0.9456928838951311,0.9456810742494237,0.9395779115635376,0.9464604406044376
8000,3,20,15,0.9456928838951311,0.9456928838951311,0.9456962183815864,0.9395788545499237,0.9469429299172474
8000,5,20,15,0.9550561797752809,0.9550561797752809,0.9551086717047715,0.9499927814174175,0.9562352479072215
8000,7,20,15,0.9550561797752809,0.9550561797752809,0.955246453178071,0.9499945374806861,0.9563880438247928
8000,9,20,15,0.951310861423221,0.951310861423221,0.9514041641851124,0.9458208623239588,0.9520568652946306
8000,11,20,15,0.9531835205992509,0.9531835205992509,0.9532643764975903,0.9479136185404108,0.9541096511736886
8000,13,20,15,0.9419475655430711,0.9419475655430711,0.9418337636813862,0.9354186823132861,0.9434062179646219
8000,15,20,15,0.9419475655430711,0.9419475655430711,0.9420049555419516,0.9354159107667459,0.9433912884140734
8000,17,20,15,0.951310861423221,0.951310861423221,0.9512851442080145,0.9458354464947528,0.9525107472495736
8000,19,20,15,0.9400749063670412,0.9400749063670412,0.9399715428226263,0.933325269519956,0.9414694968676404
8000,21,20,15,0.9382022471910112,0.9382022471910112,0.9381529579378738,0.9312505364346408,0.940397569205444
8000,23,20,15,0.9344569288389513,0.9344569288389513,0.9342900799215789,0.9270802039725488,0.9362014984001449
8000,25,20,15,0.9363295880149812,0.9363295880149812,0.9363365291415285,0.9291732983803015,0.9384954020280644
8000,27,20,15,0.9382022471910112,0.9382022471910112,0.9382628288206374,0.9312572411613945,0.9404751836569604
8000,29,20,15,0.9325842696629213,0.9325842696629213,0.9327044401130541,0.9249997073958622,0.9350246056770509
8000,31,20,15,0.9307116104868914,0.9307116104868914,0.9307431889191948,0.9229175688486793,0.9331771789122416
8000,33,20,15,0.9269662921348315,0.9269662921348315,0.9269227223758357,0.9187480980360028,0.9288493894104678
8000,35,20,15,0.9307116104868914,0.9307116104868914,0.9307460895744161,0.9229154637244651,0.9332464022666132
8000,37,20,15,0.9250936329588015,0.9250936329588015,0.9250247265006496,0.9166621148158841,0.9273636152461585
8000,39,20,15,0.9269662921348315,0.9269662921348315,0.9270672291677358,0.9187465129979829,0.9290764072924614
8000,41,20,15,0.9250936329588015,0.9250936329588015,0.9250613291966329,0.91667056785731,0.9266691486429709
8000,43,20,15,0.9232209737827716,0.9232209737827716,0.9231387680508181,0.914586665626341,0.9248445243431317
8000,45,20,15,0.9176029962546817,0.9176029962546817,0.9175288654878334,0.9083383398222631,0.9197556002487551
8000,47,20,15,0.9194756554307116,0.9194756554307116,0.9195721223846748,0.9104243549632912,0.9216053646345678
8000,49,20,15,0.9213483146067416,0.9213483146067416,0.9215270167186607,0.9125071681861271,0.9236076846732086
8000,51,20,15,0.9176029962546817,0.9176029962546817,0.9177543015928804,0.9083322604431232,0.9199810397052176
8000,1,30,15,0.9419475655430711,0.9419475655430711,0.9419659759571163,0.9354292623941959,0.9431975594113085
8000,3,30,15,0.9531835205992509,0.9531835205992509,0.9531602632167864,0.9479209334441232,0.9535581891656599
8000,5,30,15,0.9569288389513109,0.9569288389513109,0.9569757775022482,0.952089688477652,0.9582794078825106
8000,7,30,15,0.9569288389513109,0.9569288389513109,0.9570285504805984,0.9520827725043598,0.9578330981731894
8000,9,30,15,0.9550561797752809,0.9550561797752809,0.9551374750817069,0.9499980492372517,0.9559449098622381
8000,11,30,15,0.9569288389513109,0.9569288389513109,0.9569613206288629,0.9520829594488097,0.9586582676864376
8000,13,30,15,0.951310861423221,0.951310861423221,0.9513996921998611,0.9458295292272397,0.9532667349397174
8000,15,30,15,0.9550561797752809,0.9550561797752809,0.9551087473549235,0.9500058513750731,0.9565545144434551
8000,17,30,15,0.9531835205992509,0.9531835205992509,0.9531143897116167,0.9479264182737315,0.9543970028133596
8000,19,30,15,0.947565543071161,0.947565543071161,0.9476072075881752,0.9416773609707958,0.9493086833517287
8000,21,30,15,0.9382022471910112,0.9382022471910112,0.9383194791585494,0.9312623358791727,0.9408033290280416
8000,23,30,15,0.9419475655430711,0.9419475655430711,0.9420935076218944,0.9354287586594271,0.9440943996245468
8000,25,30,15,0.9382022471910112,0.9382022471910112,0.938347198399752,0.9312607271025121,0.940822580174193
8000,27,30,15,0.9382022471910112,0.9382022471910112,0.9383970081344539,0.931261799628653,0.9407283704897419
8000,29,30,15,0.9382022471910112,0.9382022471910112,0.938347198399752,0.9312607271025121,0.940822580174193
8000,31,30,15,0.9382022471910112,0.9382022471910112,0.9382904190755192,0.9312652851074784,0.9412436219700165
8000,33,30,15,0.9382022471910112,0.9382022471910112,0.9382220556461397,0.9312644807975847,0.9410758335851969
8000,35,30,15,0.9344569288389513,0.9344569288389513,0.9344661287144347,0.9270967012134947,0.936884081343193
8000,37,30,15,0.9288389513108615,0.9288389513108615,0.9287815330307653,0.9208450682249042,0.9309630665013383
8000,39,30,15,0.9250936329588015,0.9250936329588015,0.9249993026691651,0.916681944243994,0.9282527971630733
8000,41,30,15,0.9269662921348315,0.9269662921348315,0.9268502404795259,0.9187604592105417,0.9296900374979007
8000,43,30,15,0.9269662921348315,0.9269662921348315,0.9269742174101446,0.9187652125070211,0.9300124801172818
8000,45,30,15,0.9325842696629213,0.9325842696629213,0.9327098230904972,0.9250108247483002,0.9353865862737103
8000,47,30,15,0.9307116104868914,0.9307116104868914,0.9307916204531792,0.9229172681236881,0.9336408332763605
8000,49,30,15,0.9307116104868914,0.9307116104868914,0.9307003903043181,0.9229247855445939,0.9334472374225299
8000,51,30,15,0.9288389513108615,0.9288389513108615,0.9290816362167432,0.9208444506857651,0.9321667564685264
8000,1,40,15,0.9438202247191011,0.9438202247191011,0.9436863021440871,0.9375082893186765,0.9447487650350281
8000,3,40,15,0.9569288389513109,0.9569288389513109,0.9569348125307237,0.9520874456780395,0.957765770061502
8000,5,40,15,0.9550561797752809,0.9550561797752809,0.9549905057150955,0.9500029258587396,0.956343361604892
8000,7,40,15,0.9550561797752809,0.9550561797752809,0.9549195832511821,0.9499976590664357,0.9559937538763913
8000,9,40,15,0.9569288389513109,0.9569288389513109,0.9569958874491138,0.952084081084877,0.9585432707694014
8000,11,40,15,0.949438202247191,0.949438202247191,0.9495112233819551,0.9437519750008778,0.9510441532628545
8000,13,40,15,0.947565543071161,0.947565543071161,0.9475323140029392,0.9416744033640981,0.9489650918081306
8000,15,40,15,0.9419475655430711,0.9419475655430711,0.9420743081311538,0.9354269955258405,0.9441284175979283
8000,17,40,15,0.947565543071161,0.947565543071161,0.9476583782308086,0.9416725831493372,0.9491838754925107
8000,19,40,15,0.9363295880149812,0.9363295880149812,0.9365395563188071,0.9291826911825507,0.9390846185490772
8000,21,40,15,0.9382022471910112,0.9382022471910112,0.9383234868369644,0.9312655532065934,0.9411643172663234
8000,23,40,15,0.9438202247191011,0.9438202247191011,0.9438540058851134,0.93751682014439,0.9462451179258032
8000,25,40,15,0.9419475655430711,0.9419475655430711,0.9420804588123084,0.9354330401544552,0.9445737832369481
8000,27,40,15,0.9419475655430711,0.9419475655430711,0.9420804588123084,0.9354330401544552,0.9445737832369481
8000,29,40,15,0.9419475655430711,0.9419475655430711,0.9420804588123084,0.9354330401544552,0.9445737832369481
8000,31,40,15,0.9400749063670412,0.9400749063670412,0.9401735326903983,0.9333520546662922,0.9431439117030244
8000,33,40,15,0.9344569288389513,0.9344569288389513,0.9346751292884894,0.9271006821878376,0.9381016193370526
8000,35,40,15,0.9325842696629213,0.9325842696629213,0.932721373630131,0.9250175520711443,0.9364232002900555
8000,37,40,15,0.9325842696629213,0.9325842696629213,0.9328572156737841,0.9250169671344655,0.9365175037727327
8000,39,40,15,0.9232209737827716,0.9232209737827716,0.9237185461662072,0.9146073200411869,0.9289537251489535
8000,41,40,15,0.9250936329588015,0.9250936329588015,0.9254436235406795,0.9166851940696709,0.9298550139694663
8000,43,40,15,0.9250936329588015,0.9250936329588015,0.9254939353215251,0.9166900683328653,0.9299607289724356
8000,45,40,15,0.9232209737827716,0.9232209737827716,0.9236114773716514,0.9146076530950533,0.9277761526769753
8000,47,40,15,0.9232209737827716,0.9232209737827716,0.9236114773716514,0.9146076530950533,0.9277761526769753
8000,49,40,15,0.9232209737827716,0.9232209737827716,0.9235593342500046,0.9146089852845392,0.9279869582308967
8000,51,40,15,0.9213483146067416,0.9213483146067416,0.9219028105299386,0.9125266187723773,0.9268624837291629
8000,1,50,15,0.947565543071161,0.947565543071161,0.9472737277973475,0.9416730382136783,0.9483160465531996
8000,3,50,15,0.951310861423221,0.951310861423221,0.9512981462799398,0.9458434750046808,0.9523716171478147
8000,5,50,15,0.9531835205992509,0.9531835205992509,0.9531272414667105,0.9479264182737315,0.9544886366556953
