train_size,knn,kfold,accuracy,recall,f1,cohen_kappa,precision,predict_time
6000,3,10,0.94,0.94,0.939724925080244,0.9332430878780574,0.9415327536448227,1.234422206878662
6000,3,10,0.9216666666666666,0.9216666666666666,0.9215587330876122,0.912852414637086,0.924153045994829,1.230377435684204
6000,3,10,0.9366666666666666,0.9366666666666666,0.9365087040732095,0.9294054264934003,0.938135379922669,1.2314708232879639
6000,3,10,0.945,0.945,0.9451600117679149,0.938666650145899,0.9468530587635263,1.2476482391357422
6000,3,10,0.945,0.945,0.9452747295227055,0.9387783497982468,0.9471409212815812,1.2639293670654297
6000,3,10,0.94,0.94,0.9398924782405462,0.9333067795511176,0.9411201184457597,1.231888771057129
6000,3,10,0.92,0.92,0.9199945026016836,0.9110235077128407,0.9217491834015354,1.233116865158081
6000,3,10,0.9516666666666667,0.9516666666666667,0.9517490075604237,0.9461868429923826,0.9525013384653198,1.241633653640747
6000,3,10,0.93,0.93,0.929935017142915,0.9220239126667822,0.9323815915110147,1.262690782546997
6000,3,10,0.9466666666666667,0.9466666666666667,0.9471387245987771,0.9406107809991617,0.9496578565578182,1.2313334941864014
12000,3,10,0.9525,0.9525,0.9523878937094562,0.9471802843461359,0.9533899087931184,5.03670597076416
12000,3,10,0.9491666666666667,0.9491666666666667,0.9490225715671833,0.9433764791154354,0.9498669432390229,5.010517597198486
12000,3,10,0.9558333333333333,0.9558333333333333,0.9557806314819535,0.9508929226355058,0.9568554541008626,4.9824302196502686
12000,3,10,0.9575,0.9575,0.9575387248182816,0.9527230590961762,0.9581576727261036,4.973474502563477
12000,3,10,0.95,0.95,0.9500098894911855,0.9443679503762117,0.9514734258666478,4.974218368530273
12000,3,10,0.9541666666666667,0.9541666666666667,0.9542608084628035,0.9489906722488389,0.9553569814093894,4.974695205688477
12000,3,10,0.9416666666666667,0.9416666666666667,0.9417590064436941,0.935150358525875,0.9431664500891128,4.97254490852356
12000,3,10,0.9633333333333334,0.9633333333333334,0.9632537142923797,0.9592380605345682,0.9639716497938582,4.971829175949097
12000,3,10,0.9425,0.9425,0.9422572510356783,0.9360160732569596,0.9439930829763834,4.979609489440918
12000,3,10,0.9533333333333334,0.9533333333333334,0.9533615779136619,0.948076914161558,0.9546875439226661,4.971486568450928
18000,3,10,0.9588888888888889,0.9588888888888889,0.9588012139885659,0.9542812895147639,0.9591968425682882,11.197361469268799
18000,3,10,0.9661111111111111,0.9661111111111111,0.9660517063286577,0.9623209602184148,0.9663565814985412,11.215472221374512
18000,3,10,0.9638888888888889,0.9638888888888889,0.9639378332916521,0.9598240913291117,0.9645964076776333,11.215929985046387
18000,3,10,0.96,0.96,0.9599615063092407,0.9555120898298783,0.9604354342711716,11.218691349029541
18000,3,10,0.9594444444444444,0.9594444444444444,0.9594293438580401,0.9549184208684482,0.9602016945235361,11.21500563621521
18000,3,10,0.9566666666666667,0.9566666666666667,0.9565807704629453,0.9518103386730956,0.9575773014704161,11.202165365219116
18000,3,10,0.9627777777777777,0.9627777777777777,0.9628072926215581,0.958602295410038,0.9634435991793573,11.214129209518433
18000,3,10,0.9583333333333334,0.9583333333333334,0.9582683301547884,0.9536639144175931,0.9588807808614636,11.238388299942017
18000,3,10,0.9577777777777777,0.9577777777777777,0.9576716945747126,0.9529849892205715,0.9581441459112203,11.253858089447021
18000,3,10,0.9594444444444444,0.9594444444444444,0.9592742094432571,0.9548976237843982,0.9599459232760985,11.224244594573975
24000,3,10,0.9645833333333333,0.9645833333333333,0.9645301906387942,0.9606148029263202,0.9646725194349464,19.99026107788086
24000,3,10,0.9704166666666667,0.9704166666666667,0.9704285280489812,0.9671152108167798,0.9708600685782037,20.01627516746521
24000,3,10,0.9625,0.9625,0.9624836696043327,0.9582904732544418,0.9631550521466382,19.98408555984497
24000,3,10,0.9604166666666667,0.9604166666666667,0.9603446393210182,0.9560011277605674,0.9611099395335387,19.987472772598267
24000,3,10,0.9604166666666667,0.9604166666666667,0.9603460894666221,0.9559731327973899,0.9609872222621774,20.010867595672607
24000,3,10,0.9604166666666667,0.9604166666666667,0.9604495574886295,0.9559876402483765,0.9609700345320198,20.000268936157227
24000,3,10,0.9641666666666666,0.9641666666666666,0.9641232582158562,0.9601308650269454,0.964529040907657,19.98389172554016
24000,3,10,0.95875,0.95875,0.9586562442072397,0.954123161547486,0.9589633796183652,20.028260707855225
24000,3,10,0.9595833333333333,0.9595833333333333,0.9595970004662223,0.955072382097811,0.9602020086408343,20.014628410339355
24000,3,10,0.9608333333333333,0.9608333333333333,0.9608489319476197,0.9564377679917232,0.9613633881193101,20.004238843917847
30000,3,10,0.968,0.968,0.9679444394438201,0.9644248561553646,0.9680511463715262,31.261600494384766
30000,3,10,0.9686666666666667,0.9686666666666667,0.9686739836251933,0.9651675668544942,0.9692043061445172,31.239301681518555
30000,3,10,0.9626666666666667,0.9626666666666667,0.9626551347270194,0.958490907284994,0.9632854786379053,31.272039651870728
30000,3,10,0.9646666666666667,0.9646666666666667,0.9645873680809403,0.9607087984491095,0.9650204509513943,31.24284815788269
30000,3,10,0.9626666666666667,0.9626666666666667,0.9627081511078799,0.9584736649499564,0.9630933658561526,31.254485845565796
30000,3,10,0.966,0.966,0.965964003852906,0.9621915927446408,0.9662808618334202,31.270825147628784
30000,3,10,0.9636666666666667,0.9636666666666667,0.9636727300031493,0.9596008814173443,0.9641003805943646,31.38290762901306
30000,3,10,0.961,0.961,0.961037842331563,0.9566421453911156,0.9614243109102131,31.24550199508667
